CGD-ZyT-027642	ZYMTR07639	1047171.Mycgr3P104444	Mycgr3P104444
CGD-ZyT-028326	ZYMTR06046	1047171.Mycgr3P99568	Mycgr3P99568
CGD-ZyT-028562	ZYMTR01478	1047171.Mycgr3P32139	Mycgr3P32139
CGD-ZyT-028603	ZYMTR01144	1047171.Mycgr3P21413	MgPRM1
CGD-ZyT-028777	ZYMTR07611	1047171.Mycgr3P71918	Mycgr3P71918
CGD-ZyT-029566	ZYMTR00035	1047171.Mycgr3P64888	HMG1
CGD-ZyT-029722	ZYMTR00181	1047171.Mycgr3P33425	Mycgr3P33425
CGD-ZyT-030283	ZYMTR05689	1047171.Mycgr3P103593	Mycgr3P103593
CGD-ZyT-030421	ZYMTR00227	1047171.Mycgr3P102064	Mycgr3P102064
CGD-ZyT-030699	ZYMTR09098	1047171.Mycgr3P110147	Mycgr3P110147
CGD-ZyT-030774	ZYMTR08763	1047171.Mycgr3P104975	Mycgr3P104975
CGD-ZyT-030802	ZYMTR00765	1047171.Mycgr3P65882	Mycgr3P65882
CGD-ZyT-030913	ZYMTR04474	1047171.Mycgr3P107908	Mycgr3P107908
CGD-ZyT-031325	ZYMTR08612	1047171.Mycgr3P93972	Mycgr3P93972
CGD-ZyT-031458	ZYMTR08236	1047171.Mycgr3P109721	Trehalose-phosphatase
CGD-ZyT-031713	ZYMTR08354	1047171.Mycgr3P72901	Mycgr3P72901
CGD-ZyT-032402	ZYMTR02363	1047171.Mycgr3P76506	Mycgr3P76506
CGD-ZyT-032561	ZYMTR01743	1047171.Mycgr3P67344	MgSsk2
CGD-ZyT-032603	ZYMTR02688	1047171.Mycgr3P88000	GPM1
CGD-ZyT-032611	ZYMTR09217	1047171.Mycgr3P44959	Mycgr3P44959
CGD-ZyT-032852	ZYMTR01255	1047171.Mycgr3P31911	Mycgr3P31911
CGD-ZyT-033699	ZYMTR03103	1047171.Mycgr3P88222	Mycgr3P88222
CGD-ZyT-033956	ZYMTR06345	1047171.Mycgr3P37731	Mycgr3P37731
CGD-ZyT-034206	ZYMTR04992	1047171.Mycgr3P108180	Mycgr3P108180
CGD-ZyT-034455	ZYMTR01606	1047171.Mycgr3P21187	Mycgr3P21187
CGD-ZyT-034957	ZYMTR03714	1047171.Mycgr3P101921	Mycgr3P101921
CGD-ZyT-035217	ZYMTR01643	1047171.Mycgr3P107644	Mycgr3P107644
CGD-ZyT-035240	ZYMTR07648	1047171.Mycgr3P42989	Mycgr3P42989
CGD-ZyT-035291	ZYMTR06403	1047171.Mycgr3P108832	Mycgr3P108832
CGD-ZyT-035314	ZYMTR07333	1047171.Mycgr3P39975	Mycgr3P39975
CGD-ZyT-035359	ZYMTR00612	1047171.Mycgr3P98363	Mycgr3P98363
CGD-ZyT-035522	ZYMTR01300	1047171.Mycgr3P53658	SDH1
CGD-ZyT-035597	ZYMTR01915	1047171.Mycgr3P90261	Mycgr3P90261
CGD-ZyT-036540	ZYMTR02168	1047171.Mycgr3P111003	Mycgr3P111003
CGD-ZyT-037111	ZYMTR02552	1047171.Mycgr3P76651	MgWCO1
CGD-ZyT-037645	ZYMTR05319	1047171.Mycgr3P91248	Mycgr3P91248
CGD-ZyT-038280	ZYMTR04515	1047171.Mycgr3P68009	MgSNF4
CGD-ZyT-038472	ZYMTR09064	1047171.Mycgr3P105119	Mycgr3P105119
CGD-ZyT-038980	ZYMTR09039	1047171.Mycgr3P81468	LSM5
CGD-ZyT-039569	ZYMTR01793	1047171.Mycgr3P84253	Mycgr3P84253
CGD-ZyT-039570	ZYMTR09947	1047171.Mycgr3P61567	HAG2401
CGD-ZyT-039779	ZYMTR03235	1047171.Mycgr3P101774	Mycgr3P101774
CGD-ZyT-039939	ZYMTR07854	1047171.Mycgr3P109561	Mycgr3P109561
CGD-ZyT-040248	ZYMTR01580	1047171.Mycgr3P89975	MGSUL6
CGD-ZyT-040390	ZYMTR04542	1047171.Mycgr3P103124	CIT2
CGD-ZyT-040860	ZYMTR04438	1047171.Mycgr3P36274	Mycgr3P36274
CGD-ZyT-040993	ZYMTR01453	1047171.Mycgr3P98741	Mycgr3P98741
CGD-ZyT-041433	ZYMTR08811	1047171.Mycgr3P86659	MgCyr1
CGD-ZyT-041760	ZYMTR02151	1047171.Mycgr3P101387	Mycgr3P101387
CGD-ZyT-041920	ZYMTR05829	1047171.Mycgr3P91566	Mycgr3P91566
CGD-ZyT-042015	ZYMTR08835	1047171.Mycgr3P86672	Mycgr3P86672
CGD-ZyT-043143	ZYMTR02615	1047171.Mycgr3P49830	Mycgr3P49830
CGD-ZyT-043343	ZYMTR00500	1047171.Mycgr3P65516	ARO1
CGD-ZyT-043378	ZYMTR08035	1047171.Mycgr3P42401	Mycgr3P42401
CGD-ZyT-043471	ZYMTR00535	1047171.Mycgr3P98331	Mycgr3P98331
CGD-ZyT-043752	ZYMTR09516	1047171.Mycgr3P94761	Mycgr3P94761
CGD-ZyT-043840	ZYMTR04440	1047171.Mycgr3P67921	Mycgr3P67921
