Tuber melanosporum Imperfect Except Aspergillus flavus: 33
CGD-TuM-062671	TUBMM00200
CGD-TuM-051576	TUBMM00248
CGD-TuM-056460	TUBMM00595
CGD-TuM-061192	TUBMM01099
CGD-TuM-071818	TUBMM01188
CGD-TuM-038282	TUBMM01197
CGD-TuM-056318	TUBMM01479
CGD-TuM-033529	TUBMM02138
CGD-TuM-048174	TUBMM02527
CGD-TuM-051933	TUBMM02606
CGD-TuM-070736	TUBMM02842
CGD-TuM-050900	TUBMM03113
CGD-TuM-056603	TUBMM03140
CGD-TuM-059924	TUBMM03143
CGD-TuM-054085	TUBMM03477
CGD-TuM-050898	TUBMM03537
CGD-TuM-035769	TUBMM04001
CGD-TuM-056918	TUBMM04226
CGD-TuM-037544	TUBMM04233
CGD-TuM-045736	TUBMM04560
CGD-TuM-039837	TUBMM04668
CGD-TuM-031732	TUBMM04740
CGD-TuM-053978	TUBMM04786
CGD-TuM-065873	TUBMM04852
CGD-TuM-053651	TUBMM04973
CGD-TuM-070631	TUBMM04992
CGD-TuM-047559	TUBMM05094
CGD-TuM-029497	TUBMM05243
CGD-TuM-041069	TUBMM06004
CGD-TuM-060086	TUBMM06369
CGD-TuM-042620	TUBMM06379
CGD-TuM-046645	TUBMM06971
CGD-TuM-072605	TUBMM06997
