Aspergillus flavus Imperfect Except Tuber melanosporum: 63
CGD-AsF-038365	ASPFN00649
CGD-AsF-056520	ASPFN00691
CGD-AsF-056759	ASPFN00751
CGD-AsF-062066	ASPFN01127
CGD-AsF-030687	ASPFN01574
CGD-AsF-044582	ASPFN01660
CGD-AsF-041816	ASPFN01771
CGD-AsF-053024	ASPFN01863
CGD-AsF-033790	ASPFN01886
CGD-AsF-051229	ASPFN01995
CGD-AsF-047736	ASPFN02100
CGD-AsF-032240	ASPFN02336
CGD-AsF-053006	ASPFN02439
CGD-AsF-040228	ASPFN02653
CGD-AsF-047264	ASPFN02804
CGD-AsF-038739	ASPFN02990
CGD-AsF-057987	ASPFN03104
CGD-AsF-066896	ASPFN03316
CGD-AsF-067518	ASPFN03329
CGD-AsF-048213	ASPFN03475
CGD-AsF-068879	ASPFN03526
CGD-AsF-036554	ASPFN03527
CGD-AsF-063645	ASPFN03862
CGD-AsF-039342	ASPFN03887
CGD-AsF-065715	ASPFN04082
CGD-AsF-039804	ASPFN04146
CGD-AsF-056595	ASPFN04181
CGD-AsF-030406	ASPFN04744
CGD-AsF-036119	ASPFN04745
CGD-AsF-032793	ASPFN04842
CGD-AsF-058134	ASPFN05036
CGD-AsF-048348	ASPFN05121
CGD-AsF-029686	ASPFN05268
CGD-AsF-058032	ASPFN05449
CGD-AsF-045334	ASPFN05462
CGD-AsF-072236	ASPFN05683
CGD-AsF-038662	ASPFN05929
CGD-AsF-029419	ASPFN05976
CGD-AsF-039505	ASPFN06381
CGD-AsF-061222	ASPFN08138
CGD-AsF-069248	ASPFN08377
CGD-AsF-066541	ASPFN08433
CGD-AsF-065145	ASPFN08543
CGD-AsF-072061	ASPFN09192
CGD-AsF-028160	ASPFN09788
CGD-AsF-060363	ASPFN09906
CGD-AsF-070363	ASPFN10033
CGD-AsF-034660	ASPFN10140
CGD-AsF-063133	ASPFN10361
CGD-AsF-031647	ASPFN10656
CGD-AsF-050503	ASPFN10775
CGD-AsF-068959	ASPFN10800
CGD-AsF-065251	ASPFN10847
CGD-AsF-030990	ASPFN11072
CGD-AsF-067121	ASPFN11230
CGD-AsF-034817	ASPFN11616
CGD-AsF-067582	ASPFN11715
CGD-AsF-067116	ASPFN11817
CGD-AsF-063861	ASPFN11980
CGD-AsF-070206	ASPFN11989
CGD-AsF-042935	ASPFN12620
CGD-AsF-044407	ASPFN12913
CGD-AsF-071897	ASPFN13363
