#queryIndex	queryItem	stringId	identity	bitscore	preferredName	annotation
1	CGD-NeC-027601|ESA41890|Neurospora	367110.P14799	100.0	276.2	ubi::crp-6	Ubiquitin-40S ribosomal protein S27a; Ubiquitin exists either covalently attached to another protein, or free (unanchored). When covalently bound, it is conjugated to target proteins via an isopeptide bond either as a monomer (monoubiquitin), a polymer linked via different Lys residues of the ubiquitin (polyubiquitin chains) or a linear polymer linked via the initiator Met of the ubiquitin (linear polyubiquitin chains). Polyubiquitin chains, when attached to a target protein, have different functions depending on the Lys residue of the ubiquitin that is linked: Lys-6-linked may be involved in 
2	CGD-NeC-027648|EFNCRP00000004102|Neurospora	367110.Q1K7W7	100.0	665.6	Q1K7W7	Uncharacterized protein
3	CGD-NeC-028044|EFNCRP00000004432|Neurospora	367110.Q8X0X0	100.0	1487.6	gcs-1	Glutamate--cysteine ligase; Belongs to the glutamate--cysteine ligase type 3 family. 
4	CGD-NeC-028178|EFNCRP00000009412|Neurospora	367110.Q01233	100.0	1203.0	hsps-1	Heat shock 70 kDa protein
5	CGD-NeC-028214|EFNCRP00000000764|Neurospora	367110.Q7SCL4	100.0	740.7	nst-2	NAD-dependent protein deacetylase; Belongs to the sirtuin family. Class I subfamily. 
6	CGD-NeC-028272|EFNCRP00000004970|Neurospora	367110.Q7S8G4	100.0	1075.5	cat-4	Catalase 2
8	CGD-NeC-029890|EFNCRP00000009318|Neurospora	367110.Q7S1N5	98.8	1995.3	Q7S1N5	Uncharacterized protein
9	CGD-NeC-029957|EFNCRP00000002226|Neurospora	367110.Q7SG04	100.0	1135.6	Q7SG04	WD-repeat containing protein slp1
10	CGD-NeC-032059|EFNCRP00000000885|Neurospora	367110.Q7SEA6	100.0	457.2	Q7SEA6	Peroxisomal membrane protein
11	CGD-NeC-032953|EFNCRP00000000035|Neurospora	367110.Q7RXY7	100.0	794.3	Q7RXY7	Translation initiation factor 4B
12	CGD-NeC-033108|EFNCRP00000006098|Neurospora	367110.Q7S9W0	100.0	198.7	Q7S9W0	ACB domain-containing protein
13	CGD-NeC-033432|EFNCRP00000005089|Neurospora	367110.Q7S8K7	100.0	1093.2	Q7S8K7	Cytochrome P450 61; Belongs to the cytochrome P450 family. 
14	CGD-NeC-033577|EFNCRP00000003196|Neurospora	367110.Q3Y3Z1	100.0	2479.5	dim-2	DNA methyltransferase Dim-2
15	CGD-NeC-033615|EFNCRP00000003734|Neurospora	367110.Q7RZA5	100.0	636.7	Nic-7	S-methyl-5'-thioadenosine phosphorylase; Catalyzes the reversible phosphorylation of S-methyl-5'- thioadenosine (MTA) to adenine and 5-methylthioribose-1-phosphate. Involved in the breakdown of MTA, a major by-product of polyamine biosynthesis. Responsible for the first step in the methionine salvage pathway after MTA has been generated from S-adenosylmethionine. Has broad substrate specificity with 6-aminopurine nucleosides as preferred substrates.
16	CGD-NeC-033807|EFNCRP00000009466|Neurospora	367110.Q7SCR7	100.0	538.9	pcb-6	Proteasome component C5
17	CGD-NeC-033930|EFNCRP00000003994|Neurospora	367110.Q1K7V4	100.0	3148.6	Q1K7V4	UDP-N-acetylglucosaminyltransferase
18	CGD-NeC-034012|EFNCRP00000001091|Neurospora	367110.P07509	100.0	312.4	sod-1	Superoxide dismutase [Cu-Zn]; Destroys radicals which are normally produced within the cells and which are toxic to biological systems; Belongs to the Cu-Zn superoxide dismutase family. 
19	CGD-NeC-034304|EFNCRP00000008548|Neurospora	367110.Q7SGN1	100.0	664.5	Aquaporin	Aquaporin; Belongs to the MIP/aquaporin (TC 1.A.8) family. 
20	CGD-NeC-035425|EFNCRP00000004263|Neurospora	367110.Q9P720	100.0	394.0	crp-46	60S ribosomal protein L16; Belongs to the universal ribosomal protein uL13 family. 
21	CGD-NeC-035624|EFNCRP00000007496|Neurospora	367110.Q7SBC6	100.0	864.8	drh-1	ATP-dependent RNA helicase dbp2; ATP-dependent RNA helicase involved nonsense-mediated mRNA decay and ribosome biogenesis through rRNA processing.
22	CGD-NeC-036378|EFNCRP00000002337|Neurospora	367110.Q7SDG8	99.5	693.3	Q7SDG8	N-glycosylase/DNA lyase
23	CGD-NeC-036449|EFNCRP00000005178|Neurospora	367110.Q7RY55	100.0	156.0	Q7RY55	Uncharacterized protein
24	CGD-NeC-036481|EFNCRP00000003886|Neurospora	367110.V5IPH9	100.0	280.0	V5IPH9	RRM domain-containing protein
25	CGD-NeC-036508|EFNCRP00000009081|Neurospora	367110.Q1K900	100.0	818.5	cys-16	Cystathionine gamma-lyase
26	CGD-NeC-036576|EFNCRP00000007031|Neurospora	367110.Q7S9A9	100.0	1803.5	Q7S9A9	Alpha-1,4 glucan phosphorylase; Phosphorylase is an important allosteric enzyme in carbohydrate metabolism. Enzymes from different sources differ in their regulatory mechanisms and in their natural substrates. However, all known phosphorylases share catalytic and structural properties. 
27	CGD-NeC-036775|EFNCRP00000002274|Neurospora	367110.Q7SHF3	100.0	325.5	Q7SHF3	40S ribosomal protein S8
28	CGD-NeC-037116|EFNCRP00000007796|Neurospora	367110.Q1K8N4	100.0	174.9	Q1K8N4	Uncharacterized protein
29	CGD-NeC-037329|EFNCRP00000001128|Neurospora	367110.Q7SEY8	100.0	516.9	Q7SEY8	Eukaryotic translation initiation factor 4E; Belongs to the eukaryotic initiation factor 4E family. 
30	CGD-NeC-038113|EFNCRP00000004373|Neurospora	367110.Q1K825	100.0	1177.9	elp3	Elongator complex protein 3; Catalytic tRNA acetyltransferase subunit of the RNA polymerase II elongator complex, which is a component of the RNA polymerase II (Pol II) holoenzyme and is involved in transcriptional elongation.
31	CGD-NeC-038175|EFNCRP00000005866|Neurospora	367110.Q7RVR5	97.6	1395.2	prk-10	Non-specific serine/threonine protein kinase
32	CGD-NeC-038465|EFNCRP00000000919|Neurospora	367110.Q7SED6	100.0	821.2	Q7SED6	Glycerol-3-phosphate dehydrogenase [NAD(+)]
33	CGD-NeC-038578|EFNCRP00000002842|Neurospora	367110.V5IRK3	94.0	533.9	V5IRK3	Diploid state maintenance protein chpA, variant
34	CGD-NeC-038689|EFNCRP00000009676|Neurospora	367110.Q7S203	100.0	420.2	Q7S203	Adenylyl-sulfate kinase; Catalyzes the synthesis of activated sulfate. 
35	CGD-NeC-038853|EFNCRP00000001887|Neurospora	367110.P34085	100.0	946.4	cit-1	Citrate synthase, mitochondrial
36	CGD-NeC-038941|EFNCRP00000001750|Neurospora	367110.Q1K5R5	100.0	1391.3	Q1K5R5	ATP-binding cassette protein
37	CGD-NeC-039208|EFNCRP00000009815|Neurospora	367110.V5IRN2	94.8	2367.8	V5IRN2	Mitotic spindle checkpoint component mad3
38	CGD-NeC-039707|EFNCRP00000006839|Neurospora	367110.Q7SC67	89.6	889.8	Q7SC67	MFS myo-inositol transporter; Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family.
39	CGD-NeC-039735|EFNCRP00000002422|Neurospora	367110.Q7SHI2	100.0	588.6	Q7SHI2	Short-chain dehydrogenase/reductase; Belongs to the short-chain dehydrogenases/reductases (SDR) family.
40	CGD-NeC-039973|EFNCRP00000006015|Neurospora	367110.Q7RVY5	100.0	1234.9	alv-1	5-aminolevulinate synthase, mitochondrial; Catalyzes the synthesis of 5-aminolevulinate (ALA) from succinyl-CoA and glycine, the first and rate-limiting step in heme biosynthesis; Belongs to the class-II pyridoxal-phosphate-dependent aminotransferase family.
41	CGD-NeC-040035|EFNCRP00000006735|Neurospora	367110.Q7S3H3	100.0	353.6	Q7S3H3	Peroxiredoxin; Thiol-specific peroxidase that catalyzes the reduction of hydrogen peroxide and organic hydroperoxides to water and alcohols, respectively. Plays a role in cell protection against oxidative stress by detoxifying peroxides; Belongs to the peroxiredoxin family. Prx5 subfamily. 
42	CGD-NeC-040937|EFNCRP00000004827|Neurospora	367110.Q7S0E1	94.0	629.8	Q7S0E1	Hemolysin-III channel protein Izh2
43	CGD-NeC-041733|EFNCRP00000002730|Neurospora	367110.Q1K5E9	100.0	998.8	Q1K5E9	Aldehyde dehydrogenase; Belongs to the aldehyde dehydrogenase family. 
44	CGD-NeC-041770|EFNCRP00000007891|Neurospora	367110.Q7RVS1	100.0	2498.8	Q7RVS1	Multidrug resistance protein MDR
45	CGD-NeC-041879|EFNCRP00000003449|Neurospora	367110.V5IL57	77.4	123.6	LSM5	U6 snRNA-associated Sm-like protein LSm5; Plays a role in U6 snRNP assembly and function. Binds to the 3' end of U6 snRNA.
46	CGD-NeC-042341|EFNCRP00000008554|Neurospora	367110.Q7SGL6	100.0	606.3	sho1	High osmolarity signaling protein sho1; Plasma membrane osmosensor that activates the high osmolarity glycerol (HOG) MAPK signaling pathway in response to high osmolarity. 
47	CGD-NeC-042441|EFNCRP00000004460|Neurospora	367110.Q7S6A1	100.0	726.9	Q7S6A1	Uncharacterized protein
48	CGD-NeC-043019|EFNCRP00000003861|Neurospora	367110.Q1K6V5	100.0	807.7	Q1K6V5	Alpha-methylacyl-CoA racemase
49	CGD-NeC-043196|EFNCRP00000006217|Neurospora	367110.Q7RYJ1	100.0	803.1	Q7RYJ1	F-box and WD repeat-containing protein
50	CGD-NeC-043483|EFNCRP00000002115|Neurospora	367110.V5IP98	99.8	1005.4	emp-1	Phosphotransferase
51	CGD-NeC-043835|EFNCRP00000008081|Neurospora	367110.Q7S796	100.0	122.5	Q7S796	Uncharacterized protein; Belongs to the eukaryotic ribosomal protein P1/P2 family. 
52	CGD-NeC-044400|EFNCRP00000003349|Neurospora	367110.Q7S7Y9	99.4	2049.2	Q7S7Y9	Uncharacterized protein
53	CGD-NeC-044654|EFNCRP00000006622|Neurospora	367110.Q7S7I2	95.8	1889.8	Q7S7I2	Nuclear pore complex protein Nup85; Functions as a component of the nuclear pore complex (NPC). 
54	CGD-NeC-044705|EFNCRP00000004948|Neurospora	367110.Q7S8C6	100.0	1011.1	Q7S8C6	Acyl-CoA desaturase; Stearyl-CoA desaturase that utilizes O(2) and electrons from reduced cytochrome b5 to introduce the first double bond into saturated fatty acyl-CoA substrates.
55	CGD-NeC-044713|EFNCRP00000006597|Neurospora	367110.Q9Y8H7	100.0	611.7	spe-3	Spermidine synthase; Belongs to the spermidine/spermine synthase family. 
56	CGD-NeC-044757|EFNCRP00000005175|Neurospora	367110.A7UWK6	100.0	791.2	A7UWK6	Jumonji domain-containing protein 5
57	CGD-NeC-044795|EFNCRP00000009207|Neurospora	367110.Q7S1Q2	100.0	1268.8	Q7S1Q2	GTP-binding protein 1
58	CGD-NeC-045179|EFNCRP00000005256|Neurospora	367110.Q7RZ90	100.0	1152.1	Q7RZ90	TGc domain-containing protein
59	CGD-NeC-046718|EFNCRP00000006841|Neurospora	367110.Q7RV33	100.0	1320.4	Q7RV33	Hormone-sensitive lipase
60	CGD-NeC-046793|EFNCRP00000007774|Neurospora	367110.V5IQA2	99.1	849.4	V5IQA2	Aspartate aminotransferase
61	CGD-NeC-047215|EFNCRP00000002632|Neurospora	367110.Q1K528	100.0	174.9	cox-15	Cytochrome c oxidase subunit 8, mitochondrial; Component of the cytochrome c oxidase, the last enzyme in the mitochondrial electron transport chain which drives oxidative phosphorylation. The respiratory chain contains 3 multisubunit complexes succinate dehydrogenase (complex II, CII), ubiquinol- cytochrome c oxidoreductase (cytochrome b-c1 complex, complex III, CIII) and cytochrome c oxidase (complex IV, CIV), that cooperate to transfer electrons derived from NADH and succinate to molecular oxygen, creating an electrochemical gradient over the inner membrane that drives transmembrane transpor
62	CGD-NeC-047650|EFNCRP00000001924|Neurospora	367110.F5H936	100.0	451.4	F5H936	Uncharacterized protein
63	CGD-NeC-047878|EFNCRP00000006623|Neurospora	367110.O93869	100.0	1448.0	gsy-1	Glycogen [starch] synthase; Transfers the glycosyl residue from UDP-Glc to the non- reducing end of alpha-1,4-glucan. Is believed to regulate the synthesis of glycogen; Belongs to the glycosyltransferase 3 family.
64	CGD-NeC-048066|EFNCRP00000005320|Neurospora	367110.Q7S5F0	100.0	1153.7	Q7S5F0	Quinate permease; Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family.
65	CGD-NeC-048165|EFNCRP00000004980|Neurospora	367110.Q7S9E0	100.0	944.9	Q7S9E0	O-methyltransferase
66	CGD-NeC-048235|EFNCRP00000004944|Neurospora	367110.Q7S907	100.0	241.9	Q7S907	Polyamine acetyltransferase
67	CGD-NeC-048245|EFNCRP00000007741|Neurospora	367110.Q7SB01	99.7	766.9	nst-7	Transcriptional regulator
68	CGD-NeC-048602|EFNCRP00000005686|Neurospora	367110.Q7S550	100.0	2264.2	Q7S550	Fatty acid oxygenase
69	CGD-NeC-048744|EFNCRP00000008489|Neurospora	367110.V5IPM8	100.0	398.7	V5IPM8	40S ribosomal protein S8; Belongs to the eukaryotic ribosomal protein eS8 family. 
70	CGD-NeC-048795|EFNCRP00000008626|Neurospora	367110.P27526	100.0	1270.0	phr	Deoxyribodipyrimidine photo-lyase; Involved in repair of UV radiation-induced DNA damage. Catalyzes the light-dependent monomerization (300-600 nm) of cyclobutyl pyrimidine dimers (in cis-syn configuration), which are formed between adjacent bases on the same DNA strand upon exposure to ultraviolet radiation.
71	CGD-NeC-049111|EFNCRP00000003987|Neurospora	367110.Q1K7N7	100.0	529.6	gst-2	Theta class glutathione S-transferase; Belongs to the GST superfamily. 
72	CGD-NeC-049707|EFNCRP00000003696|Neurospora	367110.P24917	100.0	1028.1	nuo-51	NADH-ubiquinone oxidoreductase 51 kDa subunit, mitochondrial; Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone.
73	CGD-NeC-049864|EFNCRP00000003954|Neurospora	367110.Q1K782	100.0	892.5	Q1K782	CTP_transf_like domain-containing protein
74	CGD-NeC-050251|EFNCRP00000004563|Neurospora	367110.Q7S6Q0	99.9	1498.4	Q7S6Q0	F-box domain-containing protein
75	CGD-NeC-051044|EFNCRP00000006683|Neurospora	367110.V5ILS6	100.0	1249.2	gnn	Glycogenin
76	CGD-NeC-051662|EFNCRP00000001894|Neurospora	367110.Q1K558	100.0	1500.0	Q1K558	Carnitine acetyl transferase
77	CGD-NeC-053216|EFNCRP00000002555|Neurospora	367110.Q7RWI8	98.8	959.1	Q7RWI8	SWI-SNF complex subunit
78	CGD-NeC-053270|EFNCRP00000001937|Neurospora	367110.P37211	100.0	1059.7	atp-1	ATP synthase subunit alpha, mitochondrial; Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core, and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central 
79	CGD-NeC-053560|EFNCRP00000000502|Neurospora	367110.U9WGL4	97.6	1052.0	U9WGL4	O-acyltransferase
80	CGD-NeC-053855|EFNCRP00000009490|Neurospora	367110.Q7SEI4	100.0	1402.9	cprA	NADPH--cytochrome P450 reductase; This enzyme is required for electron transfer from NADP to cytochrome P450 in microsomes. It can also provide electron transfer to heme oxygenase and cytochrome B5. Involved in ergosterol biosynthesis. ; In the C-terminal section; belongs to the flavoprotein pyridine nucleotide cytochrome reductase family.
81	CGD-NeC-053985|EFNCRP00000003962|Neurospora	367110.V5ILY7	100.0	801.6	prk-1	Protein kinase gsk3, variant; Belongs to the protein kinase superfamily. 
82	CGD-NeC-054638|EFNCRP00000000551|Neurospora	367110.Q7SFC0	98.6	1990.7	Q7SFC0	Kinesin; Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family.
83	CGD-NeC-055665|EFNCRP00000004683|Neurospora	367110.U9W3Q8	100.0	1358.2	U9W3Q8	CBM21 domain-containing protein
84	CGD-NeC-055696|EFNCRP00000009499|Neurospora	367110.Q7S2R1	100.0	1062.0	Q7S2R1	Trehalose-6-phosphate synthase
85	CGD-NeC-056636|EFNCRP00000007343|Neurospora	367110.Q7S0B7	99.9	1360.1	gfa1	Glucosamine-fructose-6-phosphate aminotransferase
86	CGD-NeC-057758|EFNCRP00000000670|Neurospora	367110.Q7SET4	100.0	2171.7	Q7SET4	3-hydroxy-3-methylglutaryl coenzyme A reductase
87	CGD-NeC-058372|EFNCRP00000001802|Neurospora	367110.Q1K4S3	100.0	1049.3	Q1K4S3	Hexose transporter HXT13; Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family.
88	CGD-NeC-058412|EFNCRP00000001572|Neurospora	367110.Q7RYF9	96.6	1559.3	Q7RYF9	Glucan endo-1,3-beta-glucosidase
89	CGD-NeC-058465|EFNCRP00000000442|Neurospora	367110.U9W570	96.5	1590.1	acon-2	Phosphodiesterase
90	CGD-NeC-058707|EFNCRP00000003490|Neurospora	367110.Q1K7Y9	100.0	975.3	Q1K7Y9	Uncharacterized protein
91	CGD-NeC-061074|EFNCRP00000006616|Neurospora	367110.Q86ZF9	100.0	776.9	gln-1	Glutamine synthetase
92	CGD-NeC-061335|EFNCRP00000004451|Neurospora	367110.Q7S6K1	100.0	2314.7	phy-1	Sensor histidine kinase/response regulator
93	CGD-NeC-061597|EFNCRP00000005194|Neurospora	367110.V5IP66	100.0	2077.4	V5IP66	PAP-associated domain-containing protein
94	CGD-NeC-061871|EFNCRP00000006483|Neurospora	367110.V5IQ16	94.4	1469.5	V5IQ16	DNA topoisomerase I; Releases the supercoiling and torsional tension of DNA introduced during the DNA replication and transcription by transiently cleaving and rejoining one strand of the DNA duplex. Introduces a single-strand break via transesterification at the specific target site 5'-[CT]CCTTp site in duplex DNA. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(3'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 5'-OH DNA strand. The free DNA strand then undergoes passage around the unbroken strand thus removing 
95	CGD-NeC-062477|EFNCRP00000005051|Neurospora	367110.P08619	97.6	1824.3	nit-3	Nitrate reductase [NADPH]; Nitrate reductase is a key enzyme involved in the first step of nitrate assimilation in plants, fungi and bacteria.
96	CGD-NeC-062551|EFNCRP00000006397|Neurospora	367110.Q7S9P5	94.8	1245.0	Q7S9P5	Uncharacterized protein
97	CGD-NeC-063396|EFNCRP00000008943|Neurospora	367110.U9W3G5	100.0	1156.4	U9W3G5	Alkaline phosphatase
98	CGD-NeC-063806|EFNCRP00000001437|Neurospora	367110.Q7RW50	100.0	82.0	Q7RW50	Uncharacterized protein
99	CGD-NeC-064796|EFNCRP00000005079|Neurospora	367110.Q7S8L0	96.4	1232.2	Q7S8L0	Vps52/Sac2 family protein
100	CGD-NeC-065006|EFNCRP00000009558|Neurospora	367110.P07142	100.0	619.8	Cyt-26	Cytochrome c1, heme protein, mitochondrial; Component of the ubiquinol-cytochrome c oxidoreductase, a multisubunit transmembrane complex that is part of the mitochondrial electron transport chain which drives oxidative phosphorylation. The respiratory chain contains 3 multisubunit complexes succinate dehydrogenase (complex II, CII), ubiquinol-cytochrome c oxidoreductase (cytochrome b-c1 complex, complex III, CIII) and cytochrome c oxidase (complex IV, CIV), that cooperate to transfer electrons derived from NADH and succinate to molecular oxygen, creating an electrochemical gradient over the in
101	CGD-NeC-065520|EFNCRP00000006426|Neurospora	367110.A7UWT5	98.3	1284.2	tca-12	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial; Flavoprotein (FP) subunit of succinate dehydrogenase (SDH) that is involved in complex II of the mitochondrial electron transport chain and is responsible for transferring electrons from succinate to ubiquinone (coenzyme Q).
102	CGD-NeC-065648|EFNCRP00000002145|Neurospora	367110.Q7SDI6	100.0	1090.5	Q7SDI6	Cytochrome P450 51; Belongs to the cytochrome P450 family. 
103	CGD-NeC-065868|EFNCRP00000008457|Neurospora	367110.V5INQ2	100.0	464.2	V5INQ2	40S ribosomal protein S6; Belongs to the eukaryotic ribosomal protein eS6 family. 
104	CGD-NeC-066390|EFNCRP00000007864|Neurospora	367110.Q7S1Z4	100.0	984.9	Q7S1Z4	Uncharacterized protein
105	CGD-NeC-066403|EFNCRP00000002040|Neurospora	367110.Q7SH33	100.0	1860.9	prp-5	Pre-mRNA-processing ATP-dependent RNA helicase prp-5; ATP-dependent RNA helicase involved spliceosome assembly and in nuclear splicing. Catalyzes an ATP-dependent conformational change of U2 snRNP. Bridges U1 and U2 snRNPs and enables stable U2 snRNP association with intron RNA (By similarity); Belongs to the DEAD box helicase family. DDX46/PRP5 subfamily.
106	CGD-NeC-066601|EFNCRP00000003824|Neurospora	367110.Q8NIW7	100.0	881.3	bbp-1	Branchpoint-bridging protein; Necessary for the splicing of pre-mRNA. Has a role in the recognition of the branch site (5'-UACUAAC-3'), the pyrimidine tract and the 3'-splice site at the 3'-end of introns (By similarity). ; Belongs to the BBP/SF1 family.
107	CGD-NeC-066931|EFNCRP00000003125|Neurospora	367110.Q7S565	100.0	855.5	Q7S565	Probable hexaprenyl pyrophosphate synthase, mitochondrial; Assembly of polyisoprenoid side chains. The polyprenyl synthase of coenzyme Q biosynthesis catalyzes the formation from isopentenyl diphosphate of all trans-polyprenyl pyrophosphates generally ranging in length of between 6 and 10 isoprene units depending on the species (By similarity); Belongs to the FPP/GGPP synthase family.
