Aspergillus niger Imperfect Union Tuber melanosporum: 80
ASPNG00147: [(xTUBMM05568,969678)]
ASPNG00169: [(xTUBMM06027,1032776)]
ASPNG00185: [(xTUBMM01502,688756)]
ASPNG00270: [(xTUBMM05084,984832)]
ASPNG00281: [(xTUBMM06004,None)]
ASPNG00374: [(xTUBMM00243,None)]
ASPNG00379: [(xTUBMM00244,1040372)]
ASPNG00572: [(xTUBMM03379,941567)]
ASPNG00582: [(TUBMM02377,812908)]
ASPNG00696: [(xTUBMM02844,807770)]
ASPNG00773: [(TUBMM02625,786449)]
ASPNG00897: [(TUBMM07036,None)]
ASPNG01045: [(xTUBMM01557,None)]
ASPNG01400: [(xTUBMM00525,None)]
ASPNG01457: [(xTUBMM02090,818360)]
ASPNG01876: [(xTUBMM02573,950372)]
ASPNG01885: [(xTUBMM00031,680814)]
ASPNG01913: [(xTUBMM00026,968651)]
ASPNG02012: [(xTUBMM03265,984446)]
ASPNG02257: [(TUBMM05441,954222)]
ASPNG02283: [(xTUBMM03954,959592)]
ASPNG02309: [(xTUBMM06030,810640)]
ASPNG02372: [(TUBMM02962,None)]
ASPNG02398: [(xTUBMM02964,933234)]
ASPNG02407: [(xTUBMM04958,739604)]
ASPNG02441: [(xTUBMM00404,1022142)]
ASPNG02465: [(TUBMM05233,None)]
ASPNG02484: [(xTUBMM01937,958680)]
ASPNG02492: [(xTUBMM05243,None)]
ASPNG02756: [(xTUBMM00479,807443)]
ASPNG02885: [(xTUBMM05511,None)]
ASPNG03111: [(TUBMM00332,808686)]
ASPNG03197: [(xTUBMM01877,784166)]
ASPNG03542: [(xTUBMM04681,807728)]
ASPNG03556: [(TUBMM02852,None)]
ASPNG04029: [(xTUBMM02233,807454)]
ASPNG04268: [(xTUBMM02419,1025693)]
ASPNG04282: [(xTUBMM01087,959776)]
ASPNG04316: [(xTUBMM03227,1001155)]
ASPNG04365: [(TUBMM06658,209119)]
ASPNG04413: [(xTUBMM05780,803100)]
ASPNG04453: [(xTUBMM06198,964985)]
ASPNG04461: [(xTUBMM03406,807222)]
ASPNG04462: [(xTUBMM03003,959289)]
ASPNG04515: [(xTUBMM05388,984698)]
ASPNG04609: [(xTUBMM01860,767742)]
ASPNG04697: [(xTUBMM05575,None)]
ASPNG04759: [(xTUBMM04001,1035942)]
ASPNG04852: [(TUBMM03026,None)]
ASPNG04960: [(xTUBMM03241,809129)]
ASPNG05081: [(xTUBMM04169,None)]
ASPNG05265: [(xTUBMM06669,985986)]
ASPNG05487: [(TUBMM00064,717351)]
ASPNG05892: [(xTUBMM01206,939972)]
ASPNG06100: [(TUBMM06420,None)]
ASPNG06146: [(xTUBMM05881,None)]
ASPNG06202: [(xTUBMM06410,791095)]
ASPNG06316: [(xTUBMM02117,723476)]
ASPNG06477: [(xTUBMM02014,807250)]
ASPNG06548: [(xTUBMM07139,991944)]
ASPNG06568: [(xTUBMM01029,756480)]
ASPNG06817: [(TUBMM02389,809286)]
ASPNG06977: [(xTUBMM01985,1036294)]
ASPNG07030: [(xTUBMM02842,None)]
ASPNG07121: [(xTUBMM04973,1020269)]
ASPNG07181: [(xTUBMM01544,1034008)]
ASPNG07395: [(xTUBMM02590,1031039)]
ASPNG07440: [(xTUBMM02898,933604)]
ASPNG07720: [(xTUBMM06179,974503)]
ASPNG08048: [(xTUBMM02269,976341)]
ASPNG08057: [(xTUBMM04786,944899)]
ASPNG08656: [(xTUBMM05952,766063)]
ASPNG08782: [(xTUBMM04054,943332)]
ASPNG09133: [(xTUBMM05196,814915)]
ASPNG09274: [(xTUBMM05747,1037453)]
ASPNG09434: [(xTUBMM07290,978526)]
ASPNG09489: [(xTUBMM06397,989855)]
ASPNG09869: [(xTUBMM02695,1038398)]
ASPNG10163: [(xTUBMM05279,None)]
ASPNG10225: [(xTUBMM01258,None)]
