#queryIndex	queryItem	stringId	identity	bitscore	preferredName	annotation
1	CGD-ZyT-027642|Mycgr3P104444|Zymoseptoria	1047171.Mycgr3P104444	100.0	172.9	Mycgr3P104444	Hypothetical protein; Uncharacterized protein
2	CGD-ZyT-028326|Mycgr3P99568|Zymoseptoria	1047171.Mycgr3P99568	100.0	4652.4	Mycgr3P99568	Alpha-1,3-glucan synthase; Uncharacterized protein
3	CGD-ZyT-028562|Mycgr3P32139|Zymoseptoria	1047171.Mycgr3P32139	100.0	797.0	Mycgr3P32139	Cystathionine gamma-lyase; Uncharacterized protein
4	CGD-ZyT-028603|Mycgr3P21413|Zymoseptoria	1047171.Mycgr3P21413	100.0	1085.1	MgPRM1	Pheromone-regulated membrane protein 1; Involved in cell fusion during mating by stabilizing the plasma membrane fusion event
5	CGD-ZyT-028777|Mycgr3P71918|Zymoseptoria	1047171.Mycgr3P71918	100.0	798.9	Mycgr3P71918	Hypothetical protein; Uncharacterized protein
6	CGD-ZyT-029566|Mycgr3P64888|Zymoseptoria	1047171.Mycgr3P64888	100.0	2181.8	HMG1	Hydroxymethylglutaryl-coa reductase (nadph); Hmg1, hmg-CoA reductase
7	CGD-ZyT-029722|Mycgr3P33425|Zymoseptoria	1047171.Mycgr3P33425	100.0	1199.5	Mycgr3P33425	Alkaline phosphatase
8	CGD-ZyT-030283|Mycgr3P103593|Zymoseptoria	1047171.Mycgr3P103593	100.0	315.1	Mycgr3P103593	Superoxide dismutase, cu-zn family; Destroys radicals which are normally produced within the cells and which are toxic to biological systems
9	CGD-ZyT-030421|Mycgr3P102064|Zymoseptoria	1047171.Mycgr3P102064	100.0	807.4	Mycgr3P102064	Glutamine synthetase; Belongs to the glutamine synthetase family
10	CGD-ZyT-030699|Mycgr3P110147|Zymoseptoria	1047171.Mycgr3P110147	100.0	1908.3	Mycgr3P110147	Glycerol-3-phosphate dehydrogenase (NAD+); Glycerol-3-phosphate dehydrogenase [NAD(+)]
11	CGD-ZyT-030774|Mycgr3P104975|Zymoseptoria	1047171.Mycgr3P104975	100.0	364.8	Mycgr3P104975	Hypothetical protein; Thiol-specific peroxidase that catalyzes the reduction of hydrogen peroxide and organic hydroperoxides to water and alcohols, respectively. Plays a role in cell protection against oxidative stress by detoxifying peroxides
12	CGD-ZyT-030802|Mycgr3P65882|Zymoseptoria	1047171.Mycgr3P65882	100.0	1932.5	Mycgr3P65882	Diterpene cyclase-like protein
13	CGD-ZyT-030913|Mycgr3P107908|Zymoseptoria	1047171.Mycgr3P107908	100.0	718.4	Mycgr3P107908	Hypothetical protein; Uncharacterized protein
14	CGD-ZyT-031325|Mycgr3P93972|Zymoseptoria	1047171.Mycgr3P93972	100.0	1669.4	Mycgr3P93972	Hypothetical protein; Uncharacterized protein
15	CGD-ZyT-031458|Mycgr3P109721|Zymoseptoria	1047171.Mycgr3P109721	100.0	1909.8	Trehalose-phosphatase	Trehalose 6-phosphate synthase/phosphatase; Uncharacterized protein
16	CGD-ZyT-031713|Mycgr3P72901|Zymoseptoria	1047171.Mycgr3P72901	100.0	1044.6	Mycgr3P72901	Glycine hydroxymethyltransferase; Interconversion of serine and glycine
17	CGD-ZyT-032402|Mycgr3P76506|Zymoseptoria	1047171.Mycgr3P76506	100.0	1553.9	Mycgr3P76506	Carnitine o-acetyltransferase; Uncharacterized protein; Belongs to the carnitine/choline acetyltransferase family
18	CGD-ZyT-032561|Mycgr3P67344|Zymoseptoria	1047171.Mycgr3P67344	100.0	2648.6	MgSsk2	Mitogen-activated protein kinase kinase kinase; SSK2 MAP kinase
19	CGD-ZyT-032603|Mycgr3P88000|Zymoseptoria	1047171.Mycgr3P88000	100.0	473.8	GPM1	Phosphoglycerate mutase 1
20	CGD-ZyT-032611|Mycgr3P44959|Zymoseptoria	1047171.Mycgr3P44959	100.0	228.0	Mycgr3P44959	Lipopolysaccharide-induced tumor necrosis factor-alpha factor; Uncharacterized protein
21	CGD-ZyT-032852|Mycgr3P31911|Zymoseptoria	1047171.Mycgr3P31911	100.0	693.7	Mycgr3P31911	Fungal type iii polyketide synthase; Uncharacterized protein; Belongs to the chalcone/stilbene synthases family
22	CGD-ZyT-033699|Mycgr3P88222|Zymoseptoria	1047171.Mycgr3P88222	100.0	915.6	Mycgr3P88222	Ethanolamine-phosphate cytidylyltransferase; Uncharacterized protein
23	CGD-ZyT-033956|Mycgr3P37731|Zymoseptoria	1047171.Mycgr3P37731	100.0	1305.0	Mycgr3P37731	Urea-proton symporter; Uncharacterized protein; Belongs to the sodium:solute symporter (SSF) (TC 2.A.21) family
24	CGD-ZyT-034206|Mycgr3P108180|Zymoseptoria	1047171.Mycgr3P108180	100.0	925.6	Mycgr3P108180	Translation initiation factor 4b; Uncharacterized protein
25	CGD-ZyT-034455|Mycgr3P21187|Zymoseptoria	1047171.Mycgr3P21187	100.0	1166.0	Mycgr3P21187	Hypothetical protein; Uncharacterized protein
26	CGD-ZyT-034957|Mycgr3P101921|Zymoseptoria	1047171.Mycgr3P101921	100.0	1233.0	Mycgr3P101921	Phytoene desaturase (3,4-didehydrolycopene-forming); Uncharacterized protein
27	CGD-ZyT-035217|Mycgr3P107644|Zymoseptoria	1047171.Mycgr3P107644	100.0	1381.3	Mycgr3P107644	Glutamate--cysteine ligase catalytic subunit; Uncharacterized protein
28	CGD-ZyT-035240|Mycgr3P42989|Zymoseptoria	1047171.Mycgr3P42989	100.0	339.7	Mycgr3P42989	Hypothetical protein; Uncharacterized protein
29	CGD-ZyT-035291|Mycgr3P108832|Zymoseptoria	1047171.Mycgr3P108832	100.0	1083.2	Mycgr3P108832	Diacylglycerol o-acyltransferase 1; O-acyltransferase
30	CGD-ZyT-035314|Mycgr3P39975|Zymoseptoria	1047171.Mycgr3P39975	100.0	315.8	Mycgr3P39975	Hypothetical protein; Uncharacterized protein
31	CGD-ZyT-035359|Mycgr3P98363|Zymoseptoria	1047171.Mycgr3P98363	100.0	773.9	Mycgr3P98363	Hypothetical protein; Uncharacterized protein
32	CGD-ZyT-035522|Mycgr3P53658|Zymoseptoria	1047171.Mycgr3P53658	100.0	1305.4	SDH1	Flavoprotein (FP) subunit of succinate dehydrogenase (SDH) that is involved in complex II of the mitochondrial electron transport chain and is responsible for transferring electrons from succinate to ubiquinone (coenzyme Q)
33	CGD-ZyT-035597|Mycgr3P90261|Zymoseptoria	1047171.Mycgr3P90261	100.0	1697.6	Mycgr3P90261	Hypothetical protein; Uncharacterized protein
34	CGD-ZyT-036540|Mycgr3P111003|Zymoseptoria	1047171.Mycgr3P111003	100.0	1746.5	Mycgr3P111003	Nitrate reductase (nad(p)h); Uncharacterized protein
35	CGD-ZyT-037111|Mycgr3P76651|Zymoseptoria	1047171.Mycgr3P76651	100.0	2034.2	MgWCO1	Blue-light-activated transcription factor
36	CGD-ZyT-037645|Mycgr3P91248|Zymoseptoria	1047171.Mycgr3P91248	100.0	1286.9	Mycgr3P91248	Hypothetical protein; Uncharacterized protein
37	CGD-ZyT-038280|Mycgr3P68009|Zymoseptoria	1047171.Mycgr3P68009	100.0	798.5	MgSNF4	5'-AMP-activated protein kinase, regulatory gamma subunit; Nuclear protein SNF4, regulatory protein CAT3
38	CGD-ZyT-038472|Mycgr3P105119|Zymoseptoria	1047171.Mycgr3P105119	100.0	531.9	Mycgr3P105119	Proteasome core particle subunit beta 6; Uncharacterized protein
39	CGD-ZyT-038980|Mycgr3P81468|Zymoseptoria	1047171.Mycgr3P81468	100.0	170.6	LSM5	U6 snRNA-associated Sm-like protein LSm5; Plays a role in U6 snRNP assembly and function. Binds to the 3' end of U6 snRNA
40	CGD-ZyT-039569|Mycgr3P84253|Zymoseptoria	1047171.Mycgr3P84253	100.0	575.1	Mycgr3P84253	Hypothetical protein; Uncharacterized protein
41	CGD-ZyT-039570|Mycgr3P61567|Zymoseptoria	1047171.Mycgr3P61567	100.0	1135.2	HAG2401	Elongator complex protein 3; Catalytic tRNA acetyltransferase subunit of the RNA polymerase II elongator complex, which is a component of the RNA polymerase II (Pol II) holoenzyme and is involved in transcriptional elongation
42	CGD-ZyT-039779|Mycgr3P101774|Zymoseptoria	1047171.Mycgr3P101774	100.0	120.6	Mycgr3P101774	Large subunit ribosomal protein lp1; Uncharacterized protein; Belongs to the eukaryotic ribosomal protein P1/P2 family
43	CGD-ZyT-039939|Mycgr3P109561|Zymoseptoria	1047171.Mycgr3P109561	100.0	1034.2	Mycgr3P109561	Hypothetical protein; Uncharacterized protein
44	CGD-ZyT-040248|Mycgr3P89975|Zymoseptoria	1047171.Mycgr3P89975	100.0	451.1	MGSUL6	Adenylylsulfate kinase; Catalyzes the synthesis of activated sulfate
45	CGD-ZyT-040390|Mycgr3P103124|Zymoseptoria	1047171.Mycgr3P103124	100.0	946.4	CIT2	Citrate synthase; Belongs to the citrate synthase family
46	CGD-ZyT-040860|Mycgr3P36274|Zymoseptoria	1047171.Mycgr3P36274	100.0	950.3	Mycgr3P36274	Hypothetical protein; Uncharacterized protein
47	CGD-ZyT-040993|Mycgr3P98741|Zymoseptoria	1047171.Mycgr3P98741	100.0	704.1	Mycgr3P98741	Nad+-dependent protein deacetylase sir2; Uncharacterized protein
48	CGD-ZyT-041433|Mycgr3P86659|Zymoseptoria	1047171.Mycgr3P86659	100.0	3066.2	MgCyr1	Adenylate cyclase protein
49	CGD-ZyT-041760|Mycgr3P101387|Zymoseptoria	1047171.Mycgr3P101387	100.0	1791.2	Mycgr3P101387	Glycogen phosphorylase; Phosphorylase is an important allosteric enzyme in carbohydrate metabolism. Enzymes from different sources differ in their regulatory mechanisms and in their natural substrates. However, all known phosphorylases share catalytic and structural properties
50	CGD-ZyT-041920|Mycgr3P91566|Zymoseptoria	1047171.Mycgr3P91566	100.0	1332.8	Mycgr3P91566	Poly(a)-specific ribonuclease; Uncharacterized protein
51	CGD-ZyT-042015|Mycgr3P86672|Zymoseptoria	1047171.Mycgr3P86672	100.0	1055.8	Mycgr3P86672	Trehalose-6-phosphate synthase
52	CGD-ZyT-043143|Mycgr3P49830|Zymoseptoria	1047171.Mycgr3P49830	100.0	2143.2	Mycgr3P49830	Hypothetical protein; Uncharacterized protein
53	CGD-ZyT-043343|Mycgr3P65516|Zymoseptoria	1047171.Mycgr3P65516	100.0	3188.7	ARO1	Arom pentafunctional protein, aro1; The AROM polypeptide catalyzes 5 consecutive enzymatic reactions in prechorismate polyaromatic amino acid biosynthesis
54	CGD-ZyT-043378|Mycgr3P42401|Zymoseptoria	1047171.Mycgr3P42401	100.0	1706.8	Mycgr3P42401	Hypothetical protein; Uncharacterized protein
