Zymoseptoria tritici Imperfect Union Aspergillus flavus: 95
ZYMTR00035: [(xASPFN04419,1022213)]
ZYMTR00181: [(ASPFN04482,688222)]
ZYMTR00212: [(xASPFN07261,809286)]
ZYMTR00227: [(xASPFN02438,941567)]
ZYMTR00277: [(ASPFN13085,1004486)]
ZYMTR00500: [(xASPFN09815,1002632)]
ZYMTR00509: [(ASPFN11081,636383)]
ZYMTR00535: [(xASPFN06653,723476)]
ZYMTR00612: [(ASPFN02450,812908)]
ZYMTR00719: [(xASPFN03926,1038666)]
ZYMTR00834: [(xASPFN00871,None)]
ZYMTR00864: [(xASPFN02246,1036294)]
ZYMTR00869: [(xASPFN09015,959592)]
ZYMTR01093: [(xASPFN05449,807597)]
ZYMTR01144: [(xASPFN10746,739604)]
ZYMTR01166: [(xASPFN09839,984698)]
ZYMTR01180: [(xASPFN09903,807222)]
ZYMTR01200: [(xASPFN10674,958680)]
ZYMTR01255: [(xASPFN04181,None)]
ZYMTR01300: [(xASPFN01634,766063)]
ZYMTR01320: [(xASPFN12521,1040952)]
ZYMTR01478: [(xASPFN00589,791095)]
ZYMTR01544: [(ASPFN05321,807345)]
ZYMTR01559: [(xASPFN10929,1032776)]
ZYMTR01580: [(xASPFN05356,1025693)]
ZYMTR01586: [(xASPFN12469,756701)]
ZYMTR01643: [(xASPFN10062,950372)]
ZYMTR01730: [(ASPFN10795,None)]
ZYMTR01743: [(xASPFN05336,959776)]
ZYMTR01793: [(xASPFN05296,1001155)]
ZYMTR02032: [(xASPFN12620,997023)]
ZYMTR02144: [(xASPFN10285,807443)]
ZYMTR02151: [(xASPFN09902,959289)]
ZYMTR02168: [(xASPFN09928,964985)]
ZYMTR02290: [(xASPFN10906,969678)]
ZYMTR02363: [(xASPFN05178,803100)]
ZYMTR03103: [(xASPFN09327,984446)]
ZYMTR03582: [(ASPFN06466,720149)]
ZYMTR03714: [(xASPFN01886,1034481)]
ZYMTR03803: [(xASPFN00862,None)]
ZYMTR04285: [(xASPFN11288,939972)]
ZYMTR04294: [(ASPFN04930,676597)]
ZYMTR04334: [(xASPFN10377,746787), (ASPFN13035,None)]
ZYMTR04377: [(xASPFN11230,931410)]
ZYMTR04440: [(xASPFN11240,None)]
ZYMTR04474: [(xASPFN10800,950754)]
ZYMTR04515: [(ASPFN04621,784481)]
ZYMTR04542: [(xASPFN03357,756480)]
ZYMTR04565: [(xASPFN10538,1037453)]
ZYMTR04721: [(ASPFN07611,None), (ASPFN07759,None)]
ZYMTR04772: [(xASPFN04583,985986)]
ZYMTR04889: [(ASPFN10891,978527)]
ZYMTR04948: [(xASPFN07796,995923)]
ZYMTR04992: [(xASPFN03002,807728)]
ZYMTR05004: [(xASPFN08600,993002)]
ZYMTR05650: [(ASPFN00875,808204)]
ZYMTR05689: [(xASPFN01536,784166)]
ZYMTR05752: [(xASPFN06281,786449)]
ZYMTR05896: [(xASPFN03887,952230)]
ZYMTR06274: [(xASPFN10758,933234)]
ZYMTR06403: [(xASPFN08258,974503)]
ZYMTR06814: [(xASPFN11345,818360)]
ZYMTR06912: [(ASPFN11576,809129)]
ZYMTR06967: [(xASPFN10710,1022142)]
ZYMTR07211: [(xASPFN12103,940094)]
ZYMTR07293: [(ASPFN12292,None)]
ZYMTR07527: [(ASPFN05062,None)]
ZYMTR07611: [(xASPFN11208,807770)]
ZYMTR07880: [(xASPFN05976,None)]
ZYMTR07954: [(xASPFN12607,984832)]
ZYMTR08035: [(xASPFN03526,767752)]
ZYMTR08135: [(xASPFN05947,None), (ASPFN10374,None)]
ZYMTR08236: [(xASPFN02006,933604)]
ZYMTR08354: [(xASPFN08305,1038398)]
ZYMTR08572: [(xASPFN07910,714210), (ASPFN07321,None)]
ZYMTR08676: [(xASPFN09788,643293)]
ZYMTR08719: [(xASPFN01958,1031039)]
ZYMTR08732: [(xASPFN04083,943332)]
ZYMTR08763: [(ASPFN02550,None)]
ZYMTR08811: [(xASPFN03889,808460)]
ZYMTR08829: [(xASPFN04082,687665)]
ZYMTR08835: [(ASPFN11430,933602)]
ZYMTR09039: [(xASPFN11960,None)]
ZYMTR09064: [(xASPFN11810,1034008)]
ZYMTR09167: [(xASPFN12741,1040372)]
ZYMTR09285: [(ASPFN05653,978526)]
ZYMTR09732: [(xASPFN06520,807454)]
ZYMTR09829: [(xASPFN03312,991944)]
ZYMTR09900: [(xASPFN03124,968651)]
ZYMTR09947: [(xASPFN02108,976341)]
ZYMTR10132: [(ASPFN10278,None)]
ZYMTR10192: [(xASPFN03155,680814)]
ZYMTR10301: [(ASPFN03095,None), (ASPFN12258,None)]
ZYMTR10526: [(ASPFN00743,None)]
ZYMTR10779: [(xASPFN08857,767742)]
