Aspergillus niger Perfect Union Neurospora crassa: 58
ASPNG00147: [(xNEUCR03101,969678)]
ASPNG00169: [(xNEUCR06598,1032776)]
ASPNG00185: [(xNEUCR00810,688756)]
ASPNG00270: [(xNEUCR01643,984832)]
ASPNG00281: [(xNEUCR06473,997023)]
ASPNG00379: [(xNEUCR00581,1040372)]
ASPNG00434: [(xNEUCR04762,950754)]
ASPNG00455: [(xNEUCR03924,940297)]
ASPNG00467: [(xNEUCR05967,None)]
ASPNG00572: [(xNEUCR01361,None), (xNEUCR04691,941567)]
ASPNG00696: [(xNEUCR00855,807770)]
ASPNG00773: [(xNEUCR05357,786449)]
ASPNG00897: [(xNEUCR03117,None)]
ASPNG01045: [(xNEUCR01797,991597)]
ASPNG01876: [(xNEUCR03655,950372)]
ASPNG01885: [(xNEUCR01392,680814)]
ASPNG01913: [(xNEUCR01398,968651)]
ASPNG02012: [(xNEUCR00681,984446)]
ASPNG02283: [(xNEUCR07499,959592)]
ASPNG02372: [(xNEUCR05700,1038602)]
ASPNG02398: [(xNEUCR06028,933234)]
ASPNG02407: [(xNEUCR05487,739604)]
ASPNG02441: [(xNEUCR06596,1022142)]
ASPNG02484: [(xNEUCR01955,958680)]
ASPNG02756: [(xNEUCR03483,807443)]
ASPNG03260: [(xNEUCR07267,940107)]
ASPNG04029: [(xNEUCR00782,807454)]
ASPNG04183: [(xNEUCR03922,950785)]
ASPNG04268: [(xNEUCR04866,1025693)]
ASPNG04282: [(xNEUCR00265,959776)]
ASPNG04316: [(xNEUCR00250,1001155)]
ASPNG04453: [(xNEUCR03125,964985)]
ASPNG04462: [(xNEUCR03231,959289)]
ASPNG04515: [(xNEUCR01358,984698)]
ASPNG04563: [(xNEUCR01332,643293)]
ASPNG04609: [(xNEUCR05856,767742)]
ASPNG04697: [(xNEUCR04051,993002)]
ASPNG04759: [(xNEUCR01455,1035942)]
ASPNG04852: [(xNEUCR03106,978542)]
ASPNG05081: [(xNEUCR02805,1038666)]
ASPNG05265: [(xNEUCR02005,985986)]
ASPNG05526: [(xNEUCR06065,812790)]
ASPNG05892: [(xNEUCR05996,939972)]
ASPNG06202: [(xNEUCR07522,791095)]
ASPNG06316: [(xNEUCR05344,723476)]
ASPNG06416: [(xNEUCR04417,807513)]
ASPNG06548: [(xNEUCR00866,991944)]
ASPNG06817: [(xNEUCR06332,809286)]
ASPNG06977: [(xNEUCR03592,1036294)]
ASPNG07030: [(xNEUCR01388,994401)]
ASPNG07121: [(xNEUCR05170,1020269)]
ASPNG07181: [(xNEUCR02090,1034008)]
ASPNG07395: [(xNEUCR02502,1031039)]
ASPNG08048: [(xNEUCR03587,976341)]
ASPNG08057: [(xNEUCR07062,944899)]
ASPNG08656: [(xNEUCR01560,766063)]
ASPNG09489: [(xNEUCR06812,None)]
ASPNG10113: [(xNEUCR01273,817545)]
