Neurospora crassa Imperfect Union Aspergillus flavus: 604
NEUCR00038: [(ASPFN08991,1025192)]
NEUCR00055: [(ASPFN13293,1029402)]
NEUCR00081: [(ASPFN12104,1008413)]
NEUCR00093: [(ASPFN03896,808943)]
NEUCR00139: [(ASPFN01321,None), (ASPFN06248,None)]
NEUCR00145: [(ASPFN01923,960731)]
NEUCR00163: [(ASPFN01897,1006836)]
NEUCR00186: [(ASPFN04325,None)]
NEUCR00187: [(ASPFN04324,None), (ASPFN09975,None)]
NEUCR00210: [(ASPFN10965,1026083)]
NEUCR00220: [(ASPFN04425,1024144)]
NEUCR00234: [(ASPFN13376,1036675)]
NEUCR00238: [(ASPFN03495,None)]
NEUCR00244: [(ASPFN01638,807609)]
NEUCR00244: [(ASPFN01638,807609)]
NEUCR00250: [(xASPFN05296,1001155)]
NEUCR00264: [(ASPFN05379,1010509)]
NEUCR00265: [(xASPFN05336,959776)]
NEUCR00273: [(ASPFN05417,807432)]
NEUCR00299: [(ASPFN04806,None)]
NEUCR00350: [(ASPFN12692,720119)]
NEUCR00356: [(ASPFN10923,977015)]
NEUCR00366: [(ASPFN08074,745357)]
NEUCR00368: [(ASPFN03985,812112)]
NEUCR00374: [(ASPFN10921,1015820)]
NEUCR00377: [(ASPFN04876,654544)]
NEUCR00383: [(ASPFN00915,939499)]
NEUCR00468: [(ASPFN04638,585307)]
NEUCR00494: [(ASPFN06200,1042329)]
NEUCR00494: [(ASPFN06200,1042329)]
NEUCR00495: [(ASPFN06201,1025019)]
NEUCR00526: [(ASPFN12992,811015)]
NEUCR00539: [(ASPFN03851,653353)]
NEUCR00550: [(ASPFN13231,588105)]
NEUCR00553: [(ASPFN09471,757798)]
NEUCR00554: [(ASPFN11430,933602)]
NEUCR00554: [(ASPFN11430,933602)]
NEUCR00581: [(xASPFN12741,1040372)]
NEUCR00587: [(ASPFN00010,613034)]
NEUCR00606: [(ASPFN01572,720873), (ASPFN11268,None)]
NEUCR00609: [(ASPFN07329,None)]
NEUCR00614: [(ASPFN04560,None)]
NEUCR00643: [(ASPFN10029,931475)]
NEUCR00649: [(ASPFN07884,810807)]
NEUCR00649: [(ASPFN07884,810807)]
NEUCR00651: [(ASPFN11162,624378)]
NEUCR00654: [(ASPFN13467,761763)]
NEUCR00656: [(ASPFN00016,964602)]
NEUCR00668: [(ASPFN09228,807181)]
NEUCR00672: [(ASPFN09272,209647)]
NEUCR00681: [(xASPFN09327,984446)]
NEUCR00699: [(ASPFN01991,952883)]
NEUCR00708: [(ASPFN01827,941570)]
NEUCR00729: [(ASPFN09887,802032)]
NEUCR00734: [(ASPFN10528,None)]
NEUCR00741: [(ASPFN02485,1025796)]
NEUCR00772: [(ASPFN01470,1023595)]
NEUCR00782: [(xASPFN06520,807454)]
NEUCR00791: [(ASPFN06525,999882)]
NEUCR00802: [(ASPFN02150,1020331)]
NEUCR00803: [(ASPFN12110,None)]
NEUCR00803: [(ASPFN12110,None)]
NEUCR00810: [(xASPFN10944,688756)]
NEUCR00816: [(ASPFN06641,1000259)]
NEUCR00817: [(ASPFN06539,1039090)]
NEUCR00834: [(ASPFN06626,604282)]
NEUCR00835: [(ASPFN02492,1010234)]
NEUCR00846: [(ASPFN10628,624229)]
NEUCR00854: [(ASPFN02411,932830)]
NEUCR00855: [(xASPFN11208,807770)]
NEUCR00856: [(ASPFN11209,1001626)]
NEUCR00861: [(ASPFN06616,1042299)]
NEUCR00866: [(xASPFN03312,991944)]
NEUCR00876: [(ASPFN09316,954009)]
NEUCR00899: [(ASPFN06015,None)]
NEUCR00907: [(ASPFN06043,1043577)]
NEUCR00914: [(ASPFN09197,754155)]
NEUCR00921: [(ASPFN08559,793976)]
NEUCR00936: [(ASPFN13042,1025683)]
NEUCR00937: [(ASPFN05455,720122)]
NEUCR00945: [(ASPFN09594,582242)]
NEUCR00966: [(ASPFN06010,1042194)]
NEUCR00969: [(ASPFN09313,807476)]
NEUCR00969: [(ASPFN09313,807476)]
NEUCR00976: [(ASPFN12707,1039618)]
NEUCR00990: [(ASPFN03863,1008571)]
NEUCR01002: [(ASPFN03003,None)]
NEUCR01004: [(ASPFN07433,None)]
NEUCR01005: [(ASPFN07432,671165), (ASPFN11823,None)]
NEUCR01018: [(ASPFN04107,807199)]
NEUCR01023: [(ASPFN08982,951957)]
NEUCR01051: [(ASPFN09092,810903)]
NEUCR01053: [(ASPFN00763,947311)]
NEUCR01056: [(ASPFN13402,1039347)]
NEUCR01057: [(ASPFN13406,999986)]
NEUCR01087: [(ASPFN07912,1042828)]
NEUCR01099: [(ASPFN02550,769860)]
NEUCR01134: [(ASPFN09193,940224)]
NEUCR01134: [(ASPFN09193,940224)]
NEUCR01143: [(ASPFN05752,807636)]
NEUCR01150: [(ASPFN12248,1019936)]
NEUCR01173: [(ASPFN07224,1042153)]
NEUCR01191: [(ASPFN05796,585575)]
NEUCR01208: [(ASPFN00088,1014024)]
NEUCR01224: [(ASPFN09996,None)]
NEUCR01242: [(ASPFN09767,810899)]
NEUCR01249: [(ASPFN01033,None)]
NEUCR01258: [(ASPFN10234,None)]
NEUCR01273: [(xASPFN12913,None), (ASPFN08076,817545)]
NEUCR01273: [(xASPFN12913,None), (ASPFN08076,817545)]
NEUCR01280: [(ASPFN07995,984379)]
NEUCR01298: [(ASPFN02269,648546)]
NEUCR01301: [(ASPFN03807,991945)]
NEUCR01318: [(ASPFN08079,766320)]
NEUCR01328: [(ASPFN10125,None)]
NEUCR01330: [(ASPFN05360,989377)]
NEUCR01332: [(xASPFN09788,643293)]
NEUCR01333: [(ASPFN09786,1023684)]
NEUCR01340: [(ASPFN13029,582730)]
NEUCR01347: [(ASPFN06884,None)]
NEUCR01358: [(xASPFN09839,984698)]
NEUCR01361: [(xASPFN02438,None)]
NEUCR01392: [(xASPFN03155,680814), (ASPFN11276,None)]
