Neurospora crassa Perfect Union Aspergillus flavus: 67
NEUCR00250: [(xASPFN05296,1001155)]
NEUCR00265: [(xASPFN05336,959776)]
NEUCR00581: [(xASPFN12741,1040372)]
NEUCR00681: [(xASPFN09327,984446)]
NEUCR00782: [(xASPFN06520,807454)]
NEUCR00810: [(xASPFN10944,688756)]
NEUCR00855: [(xASPFN11208,807770)]
NEUCR00866: [(xASPFN03312,991944)]
NEUCR01273: [(xASPFN12913,None)]
NEUCR01273: [(xASPFN12913,None)]
NEUCR01332: [(xASPFN09788,643293)]
NEUCR01358: [(xASPFN09839,984698)]
NEUCR01361: [(xASPFN02438,None)]
NEUCR01392: [(xASPFN03155,680814)]
NEUCR01398: [(xASPFN03124,968651)]
NEUCR01560: [(xASPFN01634,766063)]
NEUCR01601: [(xASPFN03889,808460)]
NEUCR01601: [(xASPFN03889,808460)]
NEUCR01643: [(xASPFN12607,984832)]
NEUCR01714: [(xASPFN11821,687828)]
NEUCR01714: [(xASPFN11821,687828)]
NEUCR01955: [(xASPFN10674,958680)]
NEUCR02005: [(xASPFN04583,985986)]
NEUCR02035: [(xASPFN02804,575030)]
NEUCR02090: [(xASPFN11810,1034008)]
NEUCR02502: [(xASPFN01958,1031039)]
NEUCR02774: [(xASPFN11230,931410)]
NEUCR02774: [(xASPFN11230,931410)]
NEUCR02805: [(xASPFN03926,1038666)]
NEUCR02889: [(xASPFN10730,954640)]
NEUCR03101: [(xASPFN10906,969678)]
NEUCR03119: [(xASPFN11616,209211)]
NEUCR03125: [(xASPFN09928,964985)]
NEUCR03231: [(xASPFN09902,959289)]
NEUCR03231: [(xASPFN09902,959289)]
NEUCR03456: [(xASPFN09046,None)]
NEUCR03483: [(xASPFN10285,807443)]
NEUCR03483: [(xASPFN10285,807443)]
NEUCR03587: [(xASPFN02108,976341)]
NEUCR03592: [(xASPFN02246,1036294)]
NEUCR03655: [(xASPFN10062,950372)]
NEUCR03922: [(xASPFN05462,950785)]
NEUCR03924: [(xASPFN10832,940297)]
NEUCR04051: [(xASPFN08600,993002)]
NEUCR04417: [(xASPFN10033,807513)]
NEUCR04691: [(xASPFN02438,941567)]
NEUCR04762: [(xASPFN10800,950754)]
NEUCR04813: [(xASPFN11240,None)]
NEUCR04866: [(xASPFN05356,1025693)]
NEUCR05344: [(xASPFN06653,723476)]
NEUCR05357: [(xASPFN06281,786449)]
NEUCR05487: [(xASPFN10746,739604)]
NEUCR05699: [(xASPFN11072,None)]
NEUCR05699: [(xASPFN11072,None)]
NEUCR05856: [(xASPFN08857,767742)]
NEUCR05996: [(xASPFN11288,939972)]
NEUCR06028: [(xASPFN10758,933234)]
NEUCR06332: [(xASPFN07261,809286)]
NEUCR06473: [(xASPFN12620,997023)]
NEUCR06596: [(xASPFN10710,1022142)]
NEUCR06598: [(xASPFN10929,1032776)]
NEUCR06598: [(xASPFN10929,1032776)]
NEUCR06752: [(xASPFN07796,995923)]
NEUCR06812: [(xASPFN11960,None)]
NEUCR07267: [(xASPFN12103,None)]
NEUCR07499: [(xASPFN09015,959592)]
NEUCR07522: [(xASPFN00589,791095)]
