query	target	is_main_isoform	HOG	OMA_group	PAM_distance	Alignment_score
CGD-NeC-027601|ESA41890|Neurospora	NEUCR05689	True	HOG:A0562631	OmaGroup:798553	0	0
CGD-NeC-027648|EFNCRP00000004102|Neurospora	NEUCR06491	True	HOG:A0329562	OmaGroup:240523	0	0
CGD-NeC-028044|EFNCRP00000004432|Neurospora	NEUCR03655	True	HOG:A0562416	OmaGroup:950372	0	0
CGD-NeC-028178|EFNCRP00000009412|Neurospora	NEUCR03483	True	HOG:A0779791	OmaGroup:807443	0	0
CGD-NeC-028214|EFNCRP00000000764|Neurospora	NEUCR05967	True	HOG:A0365325	OmaGroup:687725	105.0	589.391512834467
CGD-NeC-028272|EFNCRP00000004970|Neurospora	NEUCR03003	True	HOG:A0781076	OmaGroup:723480	0	0
CGD-NeC-028718|EFNCRP00000004531|Neurospora	NEUCR06063	True	HOG:A0328411	OmaGroup:240506	0	0
CGD-NeC-029890|EFNCRP00000009318|Neurospora	NEUCR01870	True	HOG:A0368568	OmaGroup:626831	0	0
CGD-NeC-029957|EFNCRP00000002226|Neurospora	NEUCR06520	True	HOG:A0364549	OmaGroup:809145	89.0	1117.2626650361344
CGD-NeC-032059|EFNCRP00000000885|Neurospora	NEUCR02110	True	HOG:A0327912	OmaGroup:239676	0.049449734348559204	84.97408440057188
CGD-NeC-032953|EFNCRP00000000035|Neurospora	NEUCR00244	True	HOG:A0554823	OmaGroup:807609	104.0	204.51306728739291
CGD-NeC-033108|EFNCRP00000006098|Neurospora	NEUCR02174	True	HOG:A0785747	OmaGroup:758850	0	0
CGD-NeC-033432|EFNCRP00000005089|Neurospora	NEUCR03106	True	HOG:A0562279	OmaGroup:978542	0	0
CGD-NeC-033577|EFNCRP00000003196|Neurospora	NEUCR02445	True	HOG:A0371552	OmaGroup:930722	0	0
CGD-NeC-033615|EFNCRP00000003734|Neurospora	NEUCR02805	True	HOG:A0779919	OmaGroup:1038666	0	0
CGD-NeC-033807|EFNCRP00000009466|Neurospora	NEUCR02090	True	HOG:A0563478	OmaGroup:1034008	0	0
CGD-NeC-033930|EFNCRP00000003994|Neurospora	NEUCR06473	True	HOG:A0371304	OmaGroup:997023	0	0
CGD-NeC-034012|EFNCRP00000001091|Neurospora	NEUCR03862	True	HOG:A0569025	OmaGroup:807322	0.049449734348559204	86.0994941489771
CGD-NeC-034304|EFNCRP00000008548|Neurospora	NEUCR07087	True	HOG:A0555083	OmaGroup:952248	0	0
CGD-NeC-035425|EFNCRP00000004263|Neurospora	NEUCR03592	True	HOG:A0562334	OmaGroup:1036294	0	0
CGD-NeC-035624|EFNCRP00000007496|Neurospora	NEUCR04313	True	HOG:A0554823	OmaGroup:807488	0	0
CGD-NeC-036378|EFNCRP00000002337|Neurospora	NEUCR07267	True	HOG:A0564087	OmaGroup:940107	0	0
CGD-NeC-036449|EFNCRP00000005178|Neurospora	NEUCR03924	True	HOG:A0359763	OmaGroup:940297	0	0
CGD-NeC-036481|EFNCRP00000003886|Neurospora	NEUCR00803	True	HOG:A0554823	OmaGroup:887456	0	0
CGD-NeC-036508|EFNCRP00000009081|Neurospora	NEUCR07522	True	HOG:A0780104	OmaGroup:791095	0	0
CGD-NeC-036576|EFNCRP00000007031|Neurospora	NEUCR03231	True	HOG:A0566642	OmaGroup:959289	0	0
CGD-NeC-036775|EFNCRP00000002274|Neurospora	NEUCR07349	True	HOG:A0369355	OmaGroup:1012172	0	0
CGD-NeC-037116|EFNCRP00000007796|Neurospora	NEUCR01943	True	HOG:A0328695	OmaGroup:240818	0	0
