Aspergillus flavus Imperfect Except Neurospora crassa: 82
CGD-AsF-053229	ASPFN00634
CGD-AsF-038365	ASPFN00649
CGD-AsF-056520	ASPFN00691
CGD-AsF-056759	ASPFN00751
CGD-AsF-039205	ASPFN00862
CGD-AsF-071657	ASPFN00871
CGD-AsF-062066	ASPFN01127
CGD-AsF-062285	ASPFN01536
CGD-AsF-044582	ASPFN01660
CGD-AsF-041816	ASPFN01771
CGD-AsF-053024	ASPFN01863
CGD-AsF-033790	ASPFN01886
CGD-AsF-051229	ASPFN01995
CGD-AsF-059057	ASPFN02006
CGD-AsF-067974	ASPFN02064
CGD-AsF-047736	ASPFN02100
CGD-AsF-032240	ASPFN02336
CGD-AsF-040228	ASPFN02653
CGD-AsF-038739	ASPFN02990
CGD-AsF-041067	ASPFN03002
CGD-AsF-057987	ASPFN03104
CGD-AsF-066896	ASPFN03316
CGD-AsF-067518	ASPFN03329
CGD-AsF-070416	ASPFN03357
CGD-AsF-048213	ASPFN03475
CGD-AsF-068879	ASPFN03526
CGD-AsF-036554	ASPFN03527
CGD-AsF-063645	ASPFN03862
CGD-AsF-039342	ASPFN03887
CGD-AsF-065715	ASPFN04082
CGD-AsF-057106	ASPFN04083
CGD-AsF-039804	ASPFN04146
CGD-AsF-040912	ASPFN04407
CGD-AsF-045713	ASPFN04419
CGD-AsF-066257	ASPFN04674
CGD-AsF-030406	ASPFN04744
CGD-AsF-036119	ASPFN04745
CGD-AsF-032793	ASPFN04842
CGD-AsF-058134	ASPFN05036
CGD-AsF-048348	ASPFN05121
CGD-AsF-053937	ASPFN05178
CGD-AsF-029686	ASPFN05268
CGD-AsF-058032	ASPFN05449
CGD-AsF-072236	ASPFN05683
CGD-AsF-038662	ASPFN05929
CGD-AsF-044168	ASPFN05947
CGD-AsF-029419	ASPFN05976
CGD-AsF-042328	ASPFN06106
CGD-AsF-039505	ASPFN06381
CGD-AsF-061222	ASPFN08138
CGD-AsF-070509	ASPFN08258
CGD-AsF-041633	ASPFN08305
CGD-AsF-069248	ASPFN08377
CGD-AsF-066541	ASPFN08433
CGD-AsF-065145	ASPFN08543
CGD-AsF-052441	ASPFN08802
CGD-AsF-067373	ASPFN08955
CGD-AsF-072061	ASPFN09192
CGD-AsF-040489	ASPFN09815
CGD-AsF-032588	ASPFN09903
CGD-AsF-060363	ASPFN09906
CGD-AsF-034660	ASPFN10140
CGD-AsF-063133	ASPFN10361
CGD-AsF-046338	ASPFN10538
CGD-AsF-031647	ASPFN10656
CGD-AsF-059883	ASPFN10706
CGD-AsF-031149	ASPFN10712
CGD-AsF-050503	ASPFN10775
CGD-AsF-065251	ASPFN10847
CGD-AsF-053848	ASPFN11345
CGD-AsF-047725	ASPFN11640
CGD-AsF-067582	ASPFN11715
CGD-AsF-067116	ASPFN11817
CGD-AsF-063861	ASPFN11980
CGD-AsF-070206	ASPFN11989
CGD-AsF-046246	ASPFN12252
CGD-AsF-048994	ASPFN12469
CGD-AsF-033796	ASPFN12470
CGD-AsF-062382	ASPFN12521
CGD-AsF-060887	ASPFN12736
CGD-AsF-028842	ASPFN12833
CGD-AsF-071897	ASPFN13363
