Tuber melanosporum Imperfect Except Aspergillus niger: 40
CGD-TuM-051576	TUBMM00248
CGD-TuM-053381	TUBMM00427
CGD-TuM-056460	TUBMM00595
CGD-TuM-033835	TUBMM01053
CGD-TuM-061192	TUBMM01099
CGD-TuM-071818	TUBMM01188
CGD-TuM-038282	TUBMM01197
CGD-TuM-056318	TUBMM01479
CGD-TuM-062782	TUBMM01584
CGD-TuM-070304	TUBMM01600
CGD-TuM-033529	TUBMM02138
CGD-TuM-064021	TUBMM02150
CGD-TuM-037356	TUBMM02197
CGD-TuM-056603	TUBMM03140
CGD-TuM-059924	TUBMM03143
CGD-TuM-054085	TUBMM03477
CGD-TuM-050898	TUBMM03537
CGD-TuM-066976	TUBMM03845
CGD-TuM-056918	TUBMM04226
CGD-TuM-037544	TUBMM04233
CGD-TuM-049636	TUBMM04274
CGD-TuM-045736	TUBMM04560
CGD-TuM-039837	TUBMM04668
CGD-TuM-031732	TUBMM04740
CGD-TuM-035740	TUBMM04773
CGD-TuM-065873	TUBMM04852
CGD-TuM-070631	TUBMM04992
CGD-TuM-047800	TUBMM05017
CGD-TuM-047559	TUBMM05094
CGD-TuM-037651	TUBMM05232
CGD-TuM-059256	TUBMM05254
CGD-TuM-042335	TUBMM05593
CGD-TuM-029260	TUBMM06242
CGD-TuM-060086	TUBMM06369
CGD-TuM-039854	TUBMM06897
CGD-TuM-063666	TUBMM06911
CGD-TuM-046645	TUBMM06971
CGD-TuM-072605	TUBMM06997
CGD-TuM-028444	TUBMM07304
CGD-TuM-070194	TUBMM07384
