Neurospora crassa Imperfect Union Aspergillus niger: 553
NEUCR00038: [(ASPNG02315,1025192)]
NEUCR00055: [(ASPNG10127,1029402)]
NEUCR00069: [(ASPNG06852,1023177)]
NEUCR00079: [(ASPNG03526,1003586)]
NEUCR00081: [(ASPNG03258,1008413)]
NEUCR00093: [(ASPNG05033,808943)]
NEUCR00139: [(ASPNG05534,None)]
NEUCR00145: [(ASPNG07374,960731)]
NEUCR00163: [(ASPNG08685,1006836)]
NEUCR00186: [(ASPNG08316,None)]
NEUCR00187: [(ASPNG08314,None), (ASPNG09347,None)]
NEUCR00210: [(ASPNG00202,1026083)]
NEUCR00220: [(ASPNG02890,1024144)]
NEUCR00223: [(ASPNG02887,958567)]
NEUCR00234: [(ASPNG02850,1036675)]
NEUCR00238: [(ASPNG10183,None)]
NEUCR00244: [(ASPNG08652,807609)]
NEUCR00244: [(ASPNG08652,807609)]
NEUCR00250: [(xASPNG04316,1001155)]
NEUCR00265: [(xASPNG04282,959776)]
NEUCR00273: [(ASPNG04218,807432)]
NEUCR00299: [(ASPNG05339,None)]
NEUCR00350: [(ASPNG00336,720119)]
NEUCR00356: [(ASPNG00164,977015)]
NEUCR00366: [(ASPNG05989,745357)]
NEUCR00374: [(ASPNG00162,1015820)]
NEUCR00383: [(ASPNG01277,939499)]
NEUCR00468: [(ASPNG05306,585307)]
NEUCR00494: [(ASPNG00744,1042329)]
NEUCR00494: [(ASPNG00744,1042329)]
NEUCR00495: [(ASPNG00745,1025019)]
NEUCR00501: [(ASPNG04442,None)]
NEUCR00550: [(ASPNG09251,588105)]
NEUCR00581: [(xASPNG00379,1040372)]
NEUCR00614: [(ASPNG01583,None), (ASPNG04489,None)]
NEUCR00643: [(ASPNG06413,931475)]
NEUCR00649: [(ASPNG03075,810807)]
NEUCR00649: [(ASPNG03075,810807)]
NEUCR00654: [(ASPNG04068,None)]
NEUCR00681: [(xASPNG02012,984446)]
NEUCR00699: [(ASPNG07426,952883)]
NEUCR00708: [(ASPNG05488,941570)]
NEUCR00729: [(ASPNG04477,802032)]
NEUCR00734: [(ASPNG02014,None)]
NEUCR00741: [(ASPNG00610,1025796)]
NEUCR00772: [(ASPNG03231,1023595)]
NEUCR00782: [(xASPNG04029,807454)]
NEUCR00791: [(ASPNG04025,999882)]
NEUCR00802: [(ASPNG08083,None)]
NEUCR00803: [(ASPNG03254,None)]
NEUCR00803: [(ASPNG03254,None)]
NEUCR00810: [(xASPNG00185,688756)]
NEUCR00816: [(ASPNG03911,1000259)]
NEUCR00817: [(ASPNG04009,1039090)]
NEUCR00834: [(ASPNG03925,604282)]
NEUCR00835: [(ASPNG00618,1010234)]
NEUCR00846: [(ASPNG02522,624229)]
NEUCR00854: [(ASPNG08610,932830)]
NEUCR00855: [(xASPNG00696,807770)]
NEUCR00856: [(ASPNG00697,1001626)]
NEUCR00861: [(ASPNG03935,1042299)]
NEUCR00866: [(xASPNG06548,991944)]
NEUCR00876: [(ASPNG02022,954009)]
NEUCR00899: [(ASPNG00860,1012298)]
NEUCR00907: [(ASPNG00835,1043577)]
NEUCR00914: [(ASPNG02108,754155)]
NEUCR00921: [(ASPNG04654,793976)]
NEUCR00936: [(ASPNG01415,1025683)]
NEUCR00937: [(ASPNG04187,720122)]
NEUCR00945: [(ASPNG03622,None)]
NEUCR00966: [(ASPNG00865,1042194)]
NEUCR00976: [(ASPNG00347,1039618)]
NEUCR00990: [(ASPNG07122,1008571)]
NEUCR01002: [(ASPNG04333,None), (ASPNG04647,None)]
NEUCR01018: [(ASPNG08811,807199)]
NEUCR01023: [(ASPNG02307,951957)]
NEUCR01051: [(ASPNG02199,810903)]
NEUCR01053: [(ASPNG09716,947311)]
NEUCR01056: [(ASPNG01568,None), (ASPNG02830,1039347)]
NEUCR01057: [(ASPNG02826,None)]
NEUCR01087: [(ASPNG02995,1042828)]
NEUCR01099: [(ASPNG07889,769860)]
NEUCR01134: [(ASPNG02112,940224)]
NEUCR01134: [(ASPNG02112,940224)]
NEUCR01143: [(ASPNG08877,807636)]
NEUCR01150: [(ASPNG03274,1019936)]
NEUCR01151: [(ASPNG03271,975334)]
NEUCR01162: [(ASPNG01859,None), (ASPNG06011,None), (ASPNG07796,None)]
NEUCR01173: [(ASPNG06784,1042153)]
NEUCR01191: [(ASPNG07044,585575)]
NEUCR01208: [(ASPNG05721,1014024)]
NEUCR01224: [(ASPNG09346,None)]
NEUCR01228: [(ASPNG09518,None)]
NEUCR01242: [(ASPNG01528,810899)]
NEUCR01249: [(ASPNG05429,973015)]
NEUCR01258: [(ASPNG02812,None)]
NEUCR01273: [(xASPNG10113,817545), (ASPNG01614,None)]
NEUCR01273: [(xASPNG10113,817545), (ASPNG01614,None)]
NEUCR01280: [(ASPNG00738,984379)]
NEUCR01298: [(ASPNG00505,648546)]
NEUCR01318: [(ASPNG05991,766320)]
NEUCR01328: [(ASPNG01814,None), (ASPNG06661,616332)]
NEUCR01330: [(ASPNG04272,989377)]
NEUCR01332: [(xASPNG04563,643293)]
NEUCR01333: [(ASPNG04561,1023684)]
NEUCR01358: [(xASPNG04515,984698)]
NEUCR01361: [(xASPNG00572,None)]
NEUCR01380: [(ASPNG00502,None)]
