query	target	is_main_isoform	HOG	OMA_group	PAM_distance	Alignment_score
CGD-ZyT-027642|Mycgr3P104444|Zymoseptoria	ZYMTR07639	True	n/a	n/a	0	0
CGD-ZyT-028326|Mycgr3P99568|Zymoseptoria	ZYMTR06046	True	HOG:A0366898	OmaGroup:953052	0	0
CGD-ZyT-028562|Mycgr3P32139|Zymoseptoria	ZYMTR01478	True	HOG:A0780104	OmaGroup:791095	0	0
CGD-ZyT-028603|Mycgr3P21413|Zymoseptoria	ZYMTR01144	True	HOG:A0369679	OmaGroup:739604	0	0
CGD-ZyT-028777|Mycgr3P71918|Zymoseptoria	ZYMTR07611	True	HOG:A0554823	OmaGroup:807770	0	0
CGD-ZyT-029566|Mycgr3P64888|Zymoseptoria	ZYMTR00035	True	HOG:A0369308	OmaGroup:1022213	0	0
CGD-ZyT-029722|Mycgr3P33425|Zymoseptoria	ZYMTR00181	True	HOG:A0567474	OmaGroup:688222	0	0
CGD-ZyT-030283|Mycgr3P103593|Zymoseptoria	ZYMTR05689	True	HOG:A0781371	OmaGroup:784166	0	0
CGD-ZyT-030421|Mycgr3P102064|Zymoseptoria	ZYMTR00227	True	HOG:A0785706	OmaGroup:941567	0	0
CGD-ZyT-030699|Mycgr3P110147|Zymoseptoria	ZYMTR09098	True	n/a	n/a	0	0
CGD-ZyT-030774|Mycgr3P104975|Zymoseptoria	ZYMTR08763	True	HOG:A0567324	OmaGroup:769867	0	0
CGD-ZyT-030802|Mycgr3P65882|Zymoseptoria	ZYMTR00765	True	HOG:A0368568	OmaGroup:626832	0	0
CGD-ZyT-030913|Mycgr3P107908|Zymoseptoria	ZYMTR04474	True	HOG:A0562244	OmaGroup:950754	0	0
CGD-ZyT-031325|Mycgr3P93972|Zymoseptoria	ZYMTR08612	True	HOG:A0362123	OmaGroup:953701	0	0
CGD-ZyT-031458|Mycgr3P109721|Zymoseptoria	ZYMTR08236	True	HOG:A0563258	OmaGroup:933604	0	0
CGD-ZyT-031713|Mycgr3P72901|Zymoseptoria	ZYMTR08354	True	HOG:A0779767	OmaGroup:1038398	0	0
CGD-ZyT-032402|Mycgr3P76506|Zymoseptoria	ZYMTR02363	True	HOG:A0785696	OmaGroup:803100	0	0
CGD-ZyT-032561|Mycgr3P67344|Zymoseptoria	ZYMTR01743	True	HOG:A0559401	OmaGroup:959776	0	0
CGD-ZyT-032603|Mycgr3P88000|Zymoseptoria	ZYMTR02688	True	HOG:A0562243	OmaGroup:702162	0	0
CGD-ZyT-032611|Mycgr3P44959|Zymoseptoria	ZYMTR09217	True	HOG:A0313700	OmaGroup:889661	0	0
CGD-ZyT-032852|Mycgr3P31911|Zymoseptoria	ZYMTR01255	True	HOG:A0786674	OmaGroup:987407	0	0
CGD-ZyT-033699|Mycgr3P88222|Zymoseptoria	ZYMTR03103	True	HOG:A0563867	OmaGroup:984446	0	0
CGD-ZyT-033956|Mycgr3P37731|Zymoseptoria	ZYMTR06345	True	HOG:A0562937	OmaGroup:1000831	0	0
CGD-ZyT-034206|Mycgr3P108180|Zymoseptoria	ZYMTR04992	True	HOG:A0554863	OmaGroup:807728	0	0
CGD-ZyT-034455|Mycgr3P21187|Zymoseptoria	ZYMTR01606	True	HOG:A0369219	OmaGroup:1011432	0	0
CGD-ZyT-034957|Mycgr3P101921|Zymoseptoria	ZYMTR03714	True	HOG:A0570406	OmaGroup:1034481	0	0
CGD-ZyT-035217|Mycgr3P107644|Zymoseptoria	ZYMTR01643	True	HOG:A0562416	OmaGroup:950372	0	0
CGD-ZyT-035240|Mycgr3P42989|Zymoseptoria	ZYMTR07648	True	HOG:A0366643	OmaGroup:656215	0	0
CGD-ZyT-035291|Mycgr3P108832|Zymoseptoria	ZYMTR06403	True	HOG:A0567239	OmaGroup:974503	0	0
CGD-ZyT-035314|Mycgr3P39975|Zymoseptoria	ZYMTR07333	True	n/a	n/a	0	0
CGD-ZyT-035359|Mycgr3P98363|Zymoseptoria	ZYMTR00612	True	HOG:A0363124	OmaGroup:812908	0	0
CGD-ZyT-035522|Mycgr3P53658|Zymoseptoria	ZYMTR01300	True	HOG:A0779773	OmaGroup:766063	0	0
