Tuber melanosporum Imperfect Except Neurospora crassa: 56
CGD-TuM-062671	TUBMM00200
CGD-TuM-056433	TUBMM00243
CGD-TuM-051576	TUBMM00248
CGD-TuM-056460	TUBMM00595
CGD-TuM-057688	TUBMM00830
CGD-TuM-072125	TUBMM01029
CGD-TuM-071818	TUBMM01188
CGD-TuM-038282	TUBMM01197
CGD-TuM-071047	TUBMM01240
CGD-TuM-056318	TUBMM01479
CGD-TuM-070304	TUBMM01600
CGD-TuM-048490	TUBMM01877
CGD-TuM-050759	TUBMM02090
CGD-TuM-033529	TUBMM02138
CGD-TuM-037356	TUBMM02197
CGD-TuM-051933	TUBMM02606
CGD-TuM-060553	TUBMM02898
CGD-TuM-059478	TUBMM02925
CGD-TuM-059924	TUBMM03143
CGD-TuM-072018	TUBMM03406
CGD-TuM-054085	TUBMM03477
CGD-TuM-050898	TUBMM03537
CGD-TuM-062426	TUBMM03796
CGD-TuM-038916	TUBMM04054
CGD-TuM-056918	TUBMM04226
CGD-TuM-037544	TUBMM04233
CGD-TuM-049636	TUBMM04274
CGD-TuM-045736	TUBMM04560
CGD-TuM-039837	TUBMM04668
CGD-TuM-047641	TUBMM04681
CGD-TuM-031732	TUBMM04740
CGD-TuM-065873	TUBMM04852
CGD-TuM-070631	TUBMM04992
CGD-TuM-047800	TUBMM05017
CGD-TuM-047559	TUBMM05094
CGD-TuM-039952	TUBMM05196
CGD-TuM-037651	TUBMM05232
CGD-TuM-029497	TUBMM05243
CGD-TuM-037507	TUBMM05274
CGD-TuM-047460	TUBMM05279
CGD-TuM-067320	TUBMM05511
CGD-TuM-042335	TUBMM05593
CGD-TuM-036169	TUBMM05747
CGD-TuM-059484	TUBMM05780
CGD-TuM-053318	TUBMM05881
CGD-TuM-041069	TUBMM06004
CGD-TuM-053250	TUBMM06030
CGD-TuM-039022	TUBMM06179
CGD-TuM-036958	TUBMM06261
CGD-TuM-060086	TUBMM06369
CGD-TuM-063666	TUBMM06911
CGD-TuM-046645	TUBMM06971
CGD-TuM-072605	TUBMM06997
CGD-TuM-049167	TUBMM07290
CGD-TuM-028444	TUBMM07304
CGD-TuM-070194	TUBMM07384
