Aspergillus flavus Imperfect Union Zymoseptoria tritici: 94
ASPFN00589: [(xZYMTR01478,791095)]
ASPFN00634: [(ZYMTR07734,743955)]
ASPFN00862: [(xZYMTR03803,None), (ZYMTR00737,814915)]
ASPFN00871: [(xZYMTR00834,None)]
ASPFN01536: [(xZYMTR05689,784166)]
ASPFN01574: [(ZYMTR06030,811190)]
ASPFN01634: [(xZYMTR01300,766063)]
ASPFN01771: [(ZYMTR06157,None)]
ASPFN01863: [(ZYMTR03428,598572)]
ASPFN01886: [(xZYMTR03714,1034481)]
ASPFN01958: [(xZYMTR08719,1031039)]
ASPFN02006: [(xZYMTR08236,933604)]
ASPFN02041: [(ZYMTR02877,None)]
ASPFN02064: [(ZYMTR10006,1009552)]
ASPFN02108: [(xZYMTR09947,976341)]
ASPFN02246: [(xZYMTR00864,1036294)]
ASPFN02438: [(xZYMTR00227,941567)]
ASPFN02804: [(ZYMTR00079,575030)]
ASPFN03002: [(xZYMTR04992,807728)]
ASPFN03124: [(xZYMTR09900,968651)]
ASPFN03155: [(xZYMTR10192,680814)]
ASPFN03312: [(xZYMTR09829,991944)]
ASPFN03357: [(xZYMTR04542,756480)]
ASPFN03526: [(xZYMTR08035,767752)]
ASPFN03887: [(xZYMTR05896,952230)]
ASPFN03889: [(xZYMTR08811,808460)]
ASPFN03926: [(xZYMTR00719,1038666)]
ASPFN04082: [(xZYMTR08829,687665)]
ASPFN04083: [(xZYMTR08732,943332)]
ASPFN04181: [(xZYMTR01255,None)]
ASPFN04407: [(ZYMTR06263,808686)]
ASPFN04419: [(xZYMTR00035,1022213)]
ASPFN04583: [(xZYMTR04772,985986)]
ASPFN05121: [(ZYMTR02862,None)]
ASPFN05178: [(xZYMTR02363,803100)]
ASPFN05268: [(ZYMTR01460,811954)]
ASPFN05296: [(xZYMTR01793,1001155)]
ASPFN05336: [(xZYMTR01743,959776)]
ASPFN05356: [(xZYMTR01580,1025693)]
ASPFN05449: [(xZYMTR01093,807597)]
ASPFN05947: [(xZYMTR08135,None), (ZYMTR01667,953050)]
ASPFN05976: [(xZYMTR07880,None)]
ASPFN06281: [(xZYMTR05752,786449)]
ASPFN06381: [(ZYMTR06765,None)]
ASPFN06520: [(xZYMTR09732,807454)]
ASPFN06653: [(xZYMTR00535,723476)]
ASPFN07261: [(xZYMTR00212,809286)]
ASPFN07796: [(xZYMTR04948,995923)]
ASPFN07910: [(xZYMTR08572,714210)]
ASPFN08258: [(xZYMTR06403,974503)]
ASPFN08305: [(xZYMTR08354,1038398)]
ASPFN08600: [(xZYMTR05004,993002)]
ASPFN08802: [(ZYMTR10839,None)]
ASPFN08857: [(xZYMTR10779,767742)]
ASPFN09015: [(xZYMTR00869,959592)]
ASPFN09327: [(xZYMTR03103,984446)]
ASPFN09788: [(xZYMTR08676,643293)]
ASPFN09815: [(xZYMTR00500,1002632)]
ASPFN09839: [(xZYMTR01166,984698)]
ASPFN09902: [(xZYMTR02151,959289)]
ASPFN09903: [(xZYMTR01180,807222)]
ASPFN09928: [(xZYMTR02168,964985)]
ASPFN10033: [(ZYMTR00781,807513)]
ASPFN10062: [(xZYMTR01643,950372)]
ASPFN10285: [(xZYMTR02144,807443)]
ASPFN10377: [(xZYMTR04334,746787)]
ASPFN10538: [(xZYMTR04565,1037453)]
ASPFN10674: [(xZYMTR01200,958680)]
ASPFN10706: [(ZYMTR01508,703735)]
ASPFN10710: [(xZYMTR06967,1022142)]
ASPFN10730: [(ZYMTR05868,954640)]
ASPFN10746: [(xZYMTR01144,739604)]
ASPFN10758: [(xZYMTR06274,933234)]
ASPFN10800: [(xZYMTR04474,950754)]
ASPFN10906: [(xZYMTR02290,969678)]
ASPFN10929: [(xZYMTR01559,1032776)]
ASPFN11208: [(xZYMTR07611,807770)]
ASPFN11230: [(xZYMTR04377,931410)]
ASPFN11240: [(xZYMTR04440,None)]
ASPFN11288: [(xZYMTR04285,939972)]
ASPFN11345: [(xZYMTR06814,818360)]
ASPFN11369: [(ZYMTR06828,1038603)]
ASPFN11810: [(xZYMTR09064,1034008)]
ASPFN11821: [(ZYMTR08950,687828)]
ASPFN11960: [(xZYMTR09039,None)]
ASPFN12103: [(xZYMTR07211,940094)]
ASPFN12252: [(ZYMTR02124,None), (ZYMTR02378,None)]
ASPFN12469: [(xZYMTR01586,756701)]
ASPFN12470: [(ZYMTR01585,1033712)]
ASPFN12521: [(xZYMTR01320,1040952)]
ASPFN12607: [(xZYMTR07954,984832)]
ASPFN12620: [(xZYMTR02032,997023)]
ASPFN12741: [(xZYMTR09167,1040372)]
ASPFN13409: [(ZYMTR00870,807561)]
