Aspergillus flavus Perfect Union Tuber melanosporum: 67
ASPFN00589: [(xTUBMM06410,791095)]
ASPFN00862: [(xTUBMM05196,814915)]
ASPFN00871: [(xTUBMM05593,None)]
ASPFN01536: [(xTUBMM01877,784166)]
ASPFN01634: [(xTUBMM05952,766063)]
ASPFN01958: [(xTUBMM02590,1031039)]
ASPFN02006: [(xTUBMM02898,933604)]
ASPFN02108: [(xTUBMM02269,976341)]
ASPFN02246: [(xTUBMM01985,1036294)]
ASPFN02438: [(xTUBMM03379,941567)]
ASPFN03002: [(xTUBMM04681,807728)]
ASPFN03124: [(xTUBMM00026,968651)]
ASPFN03155: [(xTUBMM00031,680814)]
ASPFN03312: [(xTUBMM07139,991944)]
ASPFN03357: [(xTUBMM01029,756480)]
ASPFN03926: [(xTUBMM04169,None)]
ASPFN04083: [(xTUBMM04054,943332)]
ASPFN04419: [(xTUBMM05511,None)]
ASPFN04583: [(xTUBMM06669,985986)]
ASPFN05178: [(xTUBMM05780,803100)]
ASPFN05296: [(xTUBMM03227,1001155)]
ASPFN05336: [(xTUBMM01087,959776)]
ASPFN05356: [(xTUBMM02419,1025693)]
ASPFN05947: [(xTUBMM01258,953050)]
ASPFN06106: [(xTUBMM01557,None)]
ASPFN06520: [(xTUBMM02233,807454)]
ASPFN06653: [(xTUBMM02117,723476)]
ASPFN07796: [(xTUBMM03845,995923)]
ASPFN08258: [(xTUBMM06179,974503)]
ASPFN08305: [(xTUBMM02695,1038398)]
ASPFN08600: [(xTUBMM05575,None)]
ASPFN08802: [(xTUBMM00581,None)]
ASPFN08857: [(xTUBMM01860,767742)]
ASPFN09015: [(xTUBMM03954,959592)]
ASPFN09327: [(xTUBMM03265,984446)]
ASPFN09815: [(xTUBMM01600,1002632)]
ASPFN09839: [(xTUBMM05388,984698)]
ASPFN09902: [(xTUBMM03003,959289)]
ASPFN09903: [(xTUBMM03406,807222)]
ASPFN09928: [(xTUBMM06198,964985)]
ASPFN10062: [(xTUBMM02573,950372)]
ASPFN10285: [(xTUBMM00479,807443)]
ASPFN10377: [(xTUBMM00525,746787)]
ASPFN10538: [(xTUBMM05747,1037453)]
ASPFN10674: [(xTUBMM01937,958680)]
ASPFN10706: [(xTUBMM00427,None)]
ASPFN10710: [(xTUBMM00404,1022142)]
ASPFN10712: [(xTUBMM05232,None)]
ASPFN10746: [(xTUBMM04958,739604)]
ASPFN10758: [(xTUBMM02964,933234)]
ASPFN10832: [(xTUBMM06911,None)]
ASPFN10906: [(xTUBMM05568,969678)]
ASPFN10929: [(xTUBMM06027,1032776)]
ASPFN10944: [(xTUBMM01502,688756)]
ASPFN11208: [(xTUBMM02844,807770)]
ASPFN11240: [(xTUBMM00696,None)]
ASPFN11288: [(xTUBMM01206,939972)]
ASPFN11345: [(xTUBMM02090,818360)]
ASPFN11369: [(xTUBMM06568,None)]
ASPFN11640: [(xTUBMM07290,None)]
ASPFN11810: [(xTUBMM01544,1034008)]
ASPFN11960: [(xTUBMM06397,989855)]
ASPFN12103: [(xTUBMM05254,940094)]
ASPFN12521: [(xTUBMM05881,None)]
ASPFN12607: [(xTUBMM05084,984832)]
ASPFN12736: [(xTUBMM00243,None)]
ASPFN12741: [(xTUBMM00244,1040372)]
