CGD-TuM-027800	TUBMM02014	656061.D5G9K3	D5G9K3
CGD-TuM-028444	TUBMM07304	656061.D5GPP5	D5GPP5
CGD-TuM-029087	TUBMM05450	656061.D5GJE1	D5GJE1
CGD-TuM-029260	TUBMM06242	656061.D5GLN3	D5GLN3
CGD-TuM-029497	TUBMM05243	656061.D5GIT4	D5GIT4
CGD-TuM-029842	TUBMM02117	656061.D5G9V6	D5G9V6
CGD-TuM-030935	TUBMM05568	656061.D5GJQ9	D5GJQ9
CGD-TuM-031732	TUBMM04740	656061.D5GHD1	D5GHD1
CGD-TuM-031931	TUBMM03405	656061.D5GDJ5	D5GDJ5
CGD-TuM-033005	TUBMM05084	656061.D5GIC5	D5GIC5
CGD-TuM-033529	TUBMM02138	656061.D5G9X7	D5G9X7
CGD-TuM-033835	TUBMM01053	656061.D5G6T7	D5G6T7
CGD-TuM-033917	TUBMM01544	656061.D5G883	D5G883
CGD-TuM-035594	TUBMM02695	656061.D5GBM8	D5GBM8
CGD-TuM-035740	TUBMM04773	656061.D5GHG4	D5GHG4
CGD-TuM-035769	TUBMM04001	656061.D5GF92	D5GF92
CGD-TuM-036169	TUBMM05747	656061.D5GK88	D5GK88
CGD-TuM-036958	TUBMM06261	656061.D5GLQ2	D5GLQ2
CGD-TuM-037356	TUBMM02197	656061.D5GA36	D5GA36
CGD-TuM-037384	TUBMM05636	656061.D5GJX7	D5GJX7
CGD-TuM-037507	TUBMM05274	656061.D5GIW5	D5GIW5
CGD-TuM-037544	TUBMM04233	656061.D5GFX4	D5GFX4
CGD-TuM-037651	TUBMM05232	656061.D5GIS3	D5GIS3
CGD-TuM-037970	TUBMM06568	656061.D5GMK9	D5GMK9
CGD-TuM-038004	TUBMM04149	656061.D5GFP0	D5GFP0
CGD-TuM-038282	TUBMM01197	656061.D5G786	D5G786
CGD-TuM-038856	TUBMM06410	656061.D5GM51	D5GM51
CGD-TuM-038916	TUBMM04054	656061.D5GFE5	D5GFE5
CGD-TuM-039022	TUBMM06179	656061.D5GLH0	D5GLH0
CGD-TuM-039487	TUBMM07139	656061.D5GP58	D5GP58
CGD-TuM-039837	TUBMM04668	656061.D5GHA0	D5GHA0
CGD-TuM-039854	TUBMM06897	656061.D5GNI8	D5GNI8
CGD-TuM-039952	TUBMM05196	656061.D5GIN7	D5GIN7
CGD-TuM-040360	TUBMM00244	656061.D5G4I2	D5G4I2
CGD-TuM-041069	TUBMM06004	656061.D5GKZ5	D5GKZ5
CGD-TuM-041594	TUBMM01502	656061.D5G841	D5G841
CGD-TuM-042335	TUBMM05593	656061.D5GJT4	D5GJT4
CGD-TuM-042620	TUBMM06379	656061.D5GM20	D5GM20
CGD-TuM-042818	TUBMM00653	656061.D5G5P2	D5G5P2
CGD-TuM-043748	TUBMM00404	656061.D5G4Z3	D5G4Z3
CGD-TuM-044211	TUBMM02844	656061.D5GBM1	D5GBM1
CGD-TuM-044697	TUBMM04958	656061.D5GHZ9	D5GHZ9
CGD-TuM-044703	TUBMM00479	656061.D5G530	D5G530
