#queryIndex	queryItem	stringId	identity	bitscore	preferredName	annotation
1	CGD-TuM-027800|CAZ81196|Tuber	656061.D5G9K3	100.0	2298.9	D5G9K3	Uncharacterized protein; Belongs to the peptidase C19 family. 
2	CGD-TuM-028444|CAZ86488|Tuber	656061.D5GPP5	100.0	1511.5	D5GPP5	Glyco_transf_20 domain-containing protein
3	CGD-TuM-029087|CAZ84634|Tuber	656061.D5GJE1	100.0	1558.1	D5GJE1	PlsC domain-containing protein
4	CGD-TuM-029260|CAZ85426|Tuber	656061.D5GLN3	100.0	995.3	D5GLN3	SWIB domain-containing protein
5	CGD-TuM-029497|CAZ84427|Tuber	656061.D5GIT4	100.0	335.9	D5GIT4	HPt domain-containing protein
6	CGD-TuM-029842|CAZ81299|Tuber	656061.D5G9V6	100.0	1563.5	D5G9V6	Catalase; Occurs in almost all aerobically respiring organisms and serves to protect cells from the toxic effects of hydrogen peroxide. ; Belongs to the catalase family. 
7	CGD-TuM-030935|CAZ84752|Tuber	656061.D5GJQ9	100.0	1370.5	D5GJQ9	Uncharacterized protein
8	CGD-TuM-031732|CAZ83924|Tuber	656061.D5GHD1	100.0	140.6	D5GHD1	Uncharacterized protein
9	CGD-TuM-031931|CAZ82588|Tuber	656061.D5GDJ5	100.0	980.7	D5GDJ5	6PF2K domain-containing protein
10	CGD-TuM-033005|CAZ84268|Tuber	656061.D5GIC5	100.0	1219.1	D5GIC5	DNA topoisomerase I; Releases the supercoiling and torsional tension of DNA introduced during the DNA replication and transcription by transiently cleaving and rejoining one strand of the DNA duplex. Introduces a single-strand break via transesterification at the specific target site 5'-[CT]CCTTp site in duplex DNA. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(3'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 5'-OH DNA strand. The free DNA strand then undergoes passage around the unbroken strand thus removing 
11	CGD-TuM-033529|CAZ81320|Tuber	656061.D5G9X7	100.0	1023.8	D5G9X7	Methyltransf_2 domain-containing protein
12	CGD-TuM-033835|CAZ80235|Tuber	656061.D5G6T7	100.0	745.7	D5G6T7	Uncharacterized protein
13	CGD-TuM-033917|CAZ80726|Tuber	656061.D5G883	100.0	509.6	D5G883	Uncharacterized protein
14	CGD-TuM-035594|CAZ81878|Tuber	656061.D5GBM8	100.0	1003.8	D5GBM8	Serine hydroxymethyltransferase; Interconversion of serine and glycine. ; Belongs to the SHMT family. 
15	CGD-TuM-035740|CAZ83957|Tuber	656061.D5GHG4	100.0	1471.1	D5GHG4	Uncharacterized protein
16	CGD-TuM-035769|CAZ83185|Tuber	656061.D5GF92	100.0	2089.3	D5GF92	Uncharacterized protein
17	CGD-TuM-036169|CAZ84931|Tuber	656061.D5GK88	100.0	689.1	D5GK88	Gp_dh_N domain-containing protein; Belongs to the glyceraldehyde-3-phosphate dehydrogenase family.
18	CGD-TuM-036958|CAZ85445|Tuber	656061.D5GLQ2	100.0	1468.8	D5GLQ2	Catalase; Occurs in almost all aerobically respiring organisms and serves to protect cells from the toxic effects of hydrogen peroxide. ; Belongs to the catalase family. 
19	CGD-TuM-037356|CAZ81379|Tuber	656061.D5GA36	100.0	696.4	D5GA36	Abhydrolase_3 domain-containing protein
20	CGD-TuM-037384|CAZ84820|Tuber	656061.D5GJX7	100.0	552.0	D5GJX7	Uncharacterized protein
21	CGD-TuM-037507|CAZ84458|Tuber	656061.D5GIW5	100.0	899.8	D5GIW5	MADS-box domain-containing protein
22	CGD-TuM-037544|CAZ83417|Tuber	656061.D5GFX4	100.0	276.2	D5GFX4	Uncharacterized protein
23	CGD-TuM-037651|CAZ84416|Tuber	656061.D5GIS3	100.0	1320.8	D5GIS3	HMG box domain-containing protein
24	CGD-TuM-037970|CAZ85752|Tuber	656061.D5GMK9	100.0	431.4	D5GMK9	Superoxide dismutase; Destroys radicals which are normally produced within the cells and which are toxic to biological systems. ; Belongs to the iron/manganese superoxide dismutase family. 
25	CGD-TuM-038004|CAZ83333|Tuber	656061.D5GFP0	100.0	970.7	D5GFP0	Trehalose-6-phosphate synthase
26	CGD-TuM-038282|CAZ80379|Tuber	656061.D5G786	100.0	377.9	D5G786	N-acetyltransferase domain-containing protein
27	CGD-TuM-038856|CAZ85594|Tuber	656061.D5GM51	100.0	803.5	D5GM51	Uncharacterized protein
28	CGD-TuM-038916|CAZ83238|Tuber	656061.D5GFE5	100.0	1018.1	D5GFE5	Phosphotransferase
29	CGD-TuM-039022|CAZ85363|Tuber	656061.D5GLH0	100.0	994.2	D5GLH0	O-acyltransferase
30	CGD-TuM-039487|CAZ86323|Tuber	656061.D5GP58	100.0	621.7	D5GP58	Uncharacterized protein
31	CGD-TuM-039837|CAZ83852|Tuber	656061.D5GHA0	100.0	589.7	D5GHA0	Uncharacterized protein
32	CGD-TuM-039854|CAZ86081|Tuber	656061.D5GNI8	100.0	1379.0	D5GNI8	Uncharacterized protein
33	CGD-TuM-039952|CAZ84380|Tuber	656061.D5GIN7	100.0	1960.7	D5GIN7	Kinesin motor domain-containing protein; Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family.
34	CGD-TuM-040360|CAZ79425|Tuber	656061.D5G4I2	100.0	643.3	D5G4I2	Cytochrome c domain-containing protein
35	CGD-TuM-041069|CAZ85188|Tuber	656061.D5GKZ5	100.0	2881.7	D5GKZ5	Uncharacterized protein
36	CGD-TuM-041594|CAZ80684|Tuber	656061.D5G841	100.0	437.2	D5G841	Uncharacterized protein
37	CGD-TuM-042335|CAZ84777|Tuber	656061.D5GJT4	100.0	501.1	D5GJT4	Uncharacterized protein; Belongs to the eukaryotic initiation factor 4E family. 
38	CGD-TuM-042620|CAZ85563|Tuber	656061.D5GM20	100.0	176.8	D5GM20	Uncharacterized protein
39	CGD-TuM-042818|CAZ79835|Tuber	656061.D5G5P2	100.0	2020.7	D5G5P2	Uncharacterized protein
40	CGD-TuM-043748|CAZ79586|Tuber	656061.D5G4Z3	100.0	411.0	D5G4Z3	40S ribosomal protein S6; Belongs to the eukaryotic ribosomal protein eS6 family. 
