#queryIndex	queryItem	stringId	identity	bitscore	preferredName	annotation
1	CGD-AsF-028160|CADAFLAP00003626|Aspergillus	332952.B8N6Y8	100.0	427.9	B8N6Y8	Blue light-inducible protein Bli-3
2	CGD-AsF-028479|CADAFLAP00004669|Aspergillus	332952.B8N8Y9	100.0	1384.4	cprA	NADPH--cytochrome P450 reductase; This enzyme is required for electron transfer from NADP to cytochrome P450 in microsomes. It can also provide electron transfer to heme oxygenase and cytochrome B5. Involved in ergosterol biosynthesis. ; In the C-terminal section; belongs to the flavoprotein pyridine nucleotide cytochrome reductase family.
3	CGD-AsF-028605|CADAFLAP00000281|Aspergillus	332952.B8MWP1	100.0	885.6	B8MWP1	DNA N-glycosylase, putative
4	CGD-AsF-028842|CADAFLAP00001011|Aspergillus	332952.B8MYU2	100.0	1134.0	B8MYU2	Uncharacterized protein
5	CGD-AsF-029419|CADAFLAP00007318|Aspergillus	332952.B8NGA0	100.0	574.3	B8NGA0	Acetyltransferase, GNAT family
6	CGD-AsF-029686|CADAFLAP00008215|Aspergillus	332952.B8NIK4	100.0	560.1	B8NIK4	HLH transcription factor, putative
7	CGD-AsF-030172|CADAFLAP00003740|Aspergillus	332952.B8N691	100.0	1790.4	B8N691	Alpha-1,4 glucan phosphorylase; Phosphorylase is an important allosteric enzyme in carbohydrate metabolism. Enzymes from different sources differ in their regulatory mechanisms and in their natural substrates. However, all known phosphorylases share catalytic and structural properties. 
8	CGD-AsF-030406|CADAFLAP00009211|Aspergillus	332952.B8NM94	100.0	194.9	B8NM94	Uncharacterized protein
9	CGD-AsF-030449|CADAFLAP00002556|Aspergillus	332952.B8N3U7	100.0	896.3	B8N3U7	Zinc knuckle splicing factor Zfm1
10	CGD-AsF-030537|CADAFLAP00003677|Aspergillus	332952.B8N4T3	100.0	693.7	B8N4T3	Spermidine synthase; Belongs to the spermidine/spermine synthase family. 
11	CGD-AsF-030687|CADAFLAP00011676|Aspergillus	332952.B8NTK8	100.0	393.3	B8NTK8	WSC domain-containing protein
12	CGD-AsF-030892|CADAFLAP00009871|Aspergillus	332952.B8NP30	100.0	3952.1	B8NP30	Adenylate cyclase AcyA
13	CGD-AsF-030990|CADAFLAP00002420|Aspergillus	332952.B8N1I0	100.0	1436.4	B8N1I0	Trehalose synthase (Ccg-9), putative
14	CGD-AsF-031149|CADAFLAP00002060|Aspergillus	332952.B8N372	100.0	1339.7	B8N372	HMG box protein, putative
15	CGD-AsF-031647|CADAFLAP00002004|Aspergillus	332952.B8N0U4	100.0	323.2	B8N0U4	Phosphotransmitter protein Ypd1, putative
