CGD-AsN-027693	ASPC511230	5061.CADANGAP00007627	An09g02340
CGD-AsN-028134	ASPNG02883	5061.CADANGAP00005983	An07g08300
CGD-AsN-028548	ASPNG09869	5061.CADANGAP00004693	An05g00410
CGD-AsN-028755	ASPNG07068	5061.CADANGAP00013878	An18g05060
CGD-AsN-028760	ASPNG04453	5061.CADANGAP00006756	niaD
CGD-AsN-029177	ASPNG03615	5061.CADANGAP00012028	An15g05820
CGD-AsN-029693	ASPNG08544	5061.CADANGAP00007589	An09g01950
CGD-AsN-029914	ASPNG08469	5061.CADANGAP00007492	An09g00930
CGD-AsN-030826	ASPGL08222	5061.CADANGAP00003542	An03g06230
CGD-AsN-030833	ASPNG02492	5061.CADANGAP00004276	CADANGAP00004276
CGD-AsN-031249	ASPNG06136	5061.CADANGAP00013008	An16g07920
CGD-AsN-031819	ASPC503262	5061.CADANGAP00004194	An04g05750
CGD-AsN-031856	ASPNG01913	5061.CADANGAP00002479	An02g10310
CGD-AsN-032078	ASPNG04609	5061.CADANGAP00006979	cprA
CGD-AsN-032311	ASPNG00281	5061.CADANGAP00000454	CADANGAP00000454
CGD-AsN-032448	ASPNG09811	5061.CADANGAP00003591	An03g06720
CGD-AsN-032972	ASPNG01483	5061.CADANGAP00001200	An01g12420
CGD-AsN-033492	ASPNG06548	5061.CADANGAP00008035	An09g06420
CGD-AsN-033505	ASPNG02764	5061.CADANGAP00006141	An07g09880
CGD-AsN-033728	ASPNG04029	5061.CADANGAP00011473	An15g00170
CGD-AsN-033752	ASPNG05526	5061.CADANGAP00011014	An14g02970
CGD-AsN-034537	ASPC503252	5061.CADANGAP00004183	NUO51
CGD-AsN-035125	ASPNG09434	5061.CADANGAP00010334	An13g00090
CGD-AsN-035558	ASPNG00147	5061.CADANGAP00000274	An01g02910
CGD-AsN-035757	ASPNG05319	5061.CADANGAP00011299	An14g05840
CGD-AsN-035873	ASPNG00455	5061.CADANGAP00000700	An01g07250
CGD-AsN-036137	BURGB00216	5061.CADANGAP00009183	CADANGAP00009183
CGD-AsN-036534	ACIAP03837	5061.CADANGAP00012345	CADANGAP00012345
CGD-AsN-037012	ASPFU07397	5061.CADANGAP00013410	An18g00230
CGD-AsN-037096	ASPNG09423	5061.CADANGAP00009684	An12g04310
CGD-AsN-037298	ASPNG08782	5061.CADANGAP00002891	An02g14380
CGD-AsN-037401	ASPNG02309	5061.CADANGAP00004016	An04g03950
CGD-AsN-037420	ASPNG04365	5061.CADANGAP00006631	An08g04350
CGD-AsN-037509	ASPNG07440	5061.CADANGAP00009238	An11g10990
CGD-AsN-037574	ASPNG10211	5061.CADANGAP00009528	An12g02670
CGD-AsN-037657	ASPNG08656	5061.CADANGAP00002730	An02g12770
CGD-AsN-038147	ASPNG10225	5061.CADANGAP00009509	An12g02450
CGD-AsN-038214	ASPNG02407	5061.CADANGAP00004165	An04g05460
CGD-AsN-038451	ASPNG05892	5061.CADANGAP00012639	An16g04100
CGD-AsN-038757	ASPNG07531	5061.CADANGAP00009849	CADANGAP00009849
CGD-AsN-039503	ASPNG02441	5061.CADANGAP00004205	An04g05850
CGD-AsN-040121	ASPNG00809	5061.CADANGAP00001926	An02g04680
CGD-AsN-040326	ASPNG09274	5061.CADANGAP00012414	gpdA
CGD-AsN-040898	ASPNG06146	5061.CADANGAP00013020	An16g08040
CGD-AsN-041284	ASPNG03111	5061.CADANGAP00005670	An07g05090
CGD-AsN-041444	ASPNG00374	5061.CADANGAP00000586	CADANGAP00000586
CGD-AsN-041659	ASPNG02941	5061.CADANGAP00005904	An07g07520
CGD-AsN-041675	ASPNG01457	5061.CADANGAP00001231	CADANGAP00001231
CGD-AsN-041834	ASPNG00938	5061.CADANGAP00001756	An02g02960
CGD-AsN-041985	SORBI28645	5061.CADANGAP00011170	CADANGAP00011170
CGD-AsN-042100	ASPNG10113	5061.CADANGAP00010253	CADANGAP00010253
CGD-AsN-042621	ASPOR08454	5061.CADANGAP00005165	An06g02660
CGD-AsN-042986	PESFW00141	5061.CADANGAP00012817	An16g05910
CGD-AsN-044047	ASPNG04316	5061.CADANGAP00006561	An08g03660
CGD-AsN-044596	ASPNG00173	5061.CADANGAP00000304	An01g03210
CGD-AsN-044680	ASPNG01045	5061.CADANGAP00001615	An02g01550
