Tuber melanosporum Perfect Union Aspergillus niger: 67
TUBMM00026: [(xASPNG01913,968651)]
TUBMM00031: [(xASPNG01885,680814)]
TUBMM00243: [(xASPNG00374,None)]
TUBMM00244: [(xASPNG00379,1040372)]
TUBMM00404: [(xASPNG02441,1022142)]
TUBMM00479: [(xASPNG02756,807443)]
TUBMM00525: [(xASPNG01400,None)]
TUBMM01029: [(xASPNG06568,756480)]
TUBMM01087: [(xASPNG04282,959776)]
TUBMM01206: [(xASPNG05892,939972)]
TUBMM01258: [(xASPNG10225,None)]
TUBMM01502: [(xASPNG00185,688756)]
TUBMM01544: [(xASPNG07181,1034008)]
TUBMM01557: [(xASPNG01045,None)]
TUBMM01860: [(xASPNG04609,767742)]
TUBMM01877: [(xASPNG03197,784166)]
TUBMM01937: [(xASPNG02484,958680)]
TUBMM01985: [(xASPNG06977,1036294)]
TUBMM02014: [(xASPNG06477,807250)]
TUBMM02090: [(xASPNG01457,818360)]
TUBMM02117: [(xASPNG06316,723476)]
TUBMM02233: [(xASPNG04029,807454)]
TUBMM02269: [(xASPNG08048,976341)]
TUBMM02419: [(xASPNG04268,1025693)]
TUBMM02573: [(xASPNG01876,950372)]
TUBMM02590: [(xASPNG07395,1031039)]
TUBMM02695: [(xASPNG09869,1038398)]
TUBMM02842: [(xASPNG07030,None)]
TUBMM02844: [(xASPNG00696,807770)]
TUBMM02898: [(xASPNG07440,933604)]
TUBMM02964: [(xASPNG02398,933234)]
TUBMM03003: [(xASPNG04462,959289)]
TUBMM03227: [(xASPNG04316,1001155)]
TUBMM03241: [(xASPNG04960,809129)]
TUBMM03265: [(xASPNG02012,984446)]
TUBMM03379: [(xASPNG00572,941567)]
TUBMM03406: [(xASPNG04461,807222)]
TUBMM03954: [(xASPNG02283,959592)]
TUBMM04001: [(xASPNG04759,1035942)]
TUBMM04054: [(xASPNG08782,943332)]
TUBMM04169: [(xASPNG05081,None)]
TUBMM04681: [(xASPNG03542,807728)]
TUBMM04786: [(xASPNG08057,944899)]
TUBMM04958: [(xASPNG02407,739604)]
TUBMM04973: [(xASPNG07121,1020269)]
TUBMM05084: [(xASPNG00270,984832)]
TUBMM05196: [(xASPNG09133,814915)]
TUBMM05243: [(xASPNG02492,None)]
TUBMM05279: [(xASPNG10163,None)]
TUBMM05388: [(xASPNG04515,984698)]
TUBMM05511: [(xASPNG02885,None)]
TUBMM05568: [(xASPNG00147,969678)]
TUBMM05575: [(xASPNG04697,None)]
TUBMM05747: [(xASPNG09274,1037453)]
TUBMM05780: [(xASPNG04413,803100)]
TUBMM05881: [(xASPNG06146,None)]
TUBMM05952: [(xASPNG08656,766063)]
TUBMM06004: [(xASPNG00281,None)]
TUBMM06027: [(xASPNG00169,1032776)]
TUBMM06030: [(xASPNG02309,810640)]
TUBMM06179: [(xASPNG07720,974503)]
TUBMM06198: [(xASPNG04453,964985)]
TUBMM06397: [(xASPNG09489,989855)]
TUBMM06410: [(xASPNG06202,791095)]
TUBMM06669: [(xASPNG05265,985986)]
TUBMM07139: [(xASPNG06548,991944)]
TUBMM07290: [(xASPNG09434,978526)]
