Aspergillus flavus Imperfect Union Neurospora crassa: 66
ASPFN00589: [(xNEUCR07522,791095)]
ASPFN01574: [(NEUCR03185,811190)]
ASPFN01634: [(xNEUCR01560,766063)]
ASPFN01958: [(xNEUCR02502,1031039)]
ASPFN02041: [(NEUCR02580,208835)]
ASPFN02108: [(xNEUCR03587,976341)]
ASPFN02246: [(xNEUCR03592,1036294)]
ASPFN02438: [(xNEUCR01361,None), (xNEUCR04691,941567)]
ASPFN02439: [(NEUCR00645,None)]
ASPFN02804: [(xNEUCR02035,575030)]
ASPFN03124: [(xNEUCR01398,968651)]
ASPFN03155: [(xNEUCR01392,680814)]
ASPFN03312: [(xNEUCR00866,991944)]
ASPFN03889: [(xNEUCR01601,808460)]
ASPFN03926: [(xNEUCR02805,1038666)]
ASPFN04181: [(NEUCR06032,987406)]
ASPFN04583: [(xNEUCR02005,985986)]
ASPFN05296: [(xNEUCR00250,1001155)]
ASPFN05336: [(xNEUCR00265,959776)]
ASPFN05356: [(xNEUCR04866,1025693)]
ASPFN05462: [(xNEUCR03922,950785)]
ASPFN06281: [(xNEUCR05357,786449)]
ASPFN06520: [(xNEUCR00782,807454)]
ASPFN06653: [(xNEUCR05344,723476)]
ASPFN07261: [(xNEUCR06332,809286)]
ASPFN07796: [(xNEUCR06752,995923)]
ASPFN07910: [(NEUCR02610,None)]
ASPFN08600: [(xNEUCR04051,993002)]
ASPFN08857: [(xNEUCR05856,767742)]
ASPFN09015: [(xNEUCR07499,959592)]
ASPFN09046: [(xNEUCR03456,None)]
ASPFN09327: [(xNEUCR00681,984446)]
ASPFN09788: [(xNEUCR01332,643293)]
ASPFN09839: [(xNEUCR01358,984698)]
ASPFN09902: [(xNEUCR03231,959289)]
ASPFN09928: [(xNEUCR03125,964985)]
ASPFN10033: [(xNEUCR04417,807513)]
ASPFN10062: [(xNEUCR03655,950372)]
ASPFN10285: [(xNEUCR03483,807443)]
ASPFN10377: [(NEUCR04134,None)]
ASPFN10674: [(xNEUCR01955,958680)]
ASPFN10710: [(xNEUCR06596,1022142)]
ASPFN10730: [(xNEUCR02889,954640)]
ASPFN10746: [(xNEUCR05487,739604)]
ASPFN10758: [(xNEUCR06028,933234)]
ASPFN10800: [(xNEUCR04762,950754)]
ASPFN10832: [(xNEUCR03924,940297)]
ASPFN10906: [(xNEUCR03101,969678)]
ASPFN10929: [(xNEUCR06598,1032776)]
ASPFN10944: [(xNEUCR00810,688756)]
ASPFN11072: [(xNEUCR05699,None)]
ASPFN11208: [(xNEUCR00855,807770)]
ASPFN11230: [(xNEUCR02774,931410)]
ASPFN11240: [(xNEUCR04813,None)]
ASPFN11288: [(xNEUCR05996,939972)]
ASPFN11369: [(NEUCR03599,1038603)]
ASPFN11616: [(xNEUCR03119,209211)]
ASPFN11810: [(xNEUCR02090,1034008)]
ASPFN11821: [(xNEUCR01714,687828)]
ASPFN11960: [(xNEUCR06812,None)]
ASPFN12103: [(xNEUCR07267,None)]
ASPFN12607: [(xNEUCR01643,984832)]
ASPFN12620: [(xNEUCR06473,997023)]
ASPFN12741: [(xNEUCR00581,1040372)]
ASPFN12913: [(xNEUCR01273,None)]
ASPFN13409: [(NEUCR05527,807561)]
