Neurospora crassa Perfect Union Tuber melanosporum: 72
NEUCR00250: [(xTUBMM03227,1001155)]
NEUCR00265: [(xTUBMM01087,959776)]
NEUCR00554: [(xTUBMM04149,933602)]
NEUCR00554: [(xTUBMM04149,933602)]
NEUCR00581: [(xTUBMM00244,1040372)]
NEUCR00681: [(xTUBMM03265,984446)]
NEUCR00782: [(xTUBMM02233,807454)]
NEUCR00810: [(xTUBMM01502,688756)]
NEUCR00855: [(xTUBMM02844,807770)]
NEUCR00866: [(xTUBMM07139,991944)]
NEUCR00942: [(xTUBMM06897,1011432)]
NEUCR01242: [(xTUBMM03944,810899)]
NEUCR01358: [(xTUBMM05388,984698)]
NEUCR01361: [(xTUBMM03379,None)]
NEUCR01388: [(xTUBMM02842,None)]
NEUCR01392: [(xTUBMM00031,680814)]
NEUCR01398: [(xTUBMM00026,968651)]
NEUCR01455: [(xTUBMM04001,1035942)]
NEUCR01455: [(xTUBMM04001,1035942)]
NEUCR01560: [(xTUBMM05952,766063)]
NEUCR01643: [(xTUBMM05084,984832)]
NEUCR01797: [(xTUBMM01557,None)]
NEUCR01955: [(xTUBMM01937,958680)]
NEUCR02005: [(xTUBMM06669,985986)]
NEUCR02068: [(xTUBMM03140,940249)]
NEUCR02090: [(xTUBMM01544,1034008)]
NEUCR02502: [(xTUBMM02590,1031039)]
NEUCR02805: [(xTUBMM04169,None)]
NEUCR03087: [(xTUBMM02150,939183)]
NEUCR03087: [(xTUBMM02150,939183)]
NEUCR03101: [(xTUBMM05568,969678)]
NEUCR03125: [(xTUBMM06198,964985)]
NEUCR03231: [(xTUBMM03003,959289)]
NEUCR03231: [(xTUBMM03003,959289)]
NEUCR03483: [(xTUBMM00479,807443)]
NEUCR03483: [(xTUBMM00479,807443)]
NEUCR03587: [(xTUBMM02269,976341)]
NEUCR03592: [(xTUBMM01985,1036294)]
NEUCR03655: [(xTUBMM02573,950372)]
NEUCR03876: [(xTUBMM01053,807541)]
NEUCR04051: [(xTUBMM05575,None)]
NEUCR04148: [(xTUBMM00427,703738)]
NEUCR04202: [(xTUBMM02695,None)]
NEUCR04454: [(xTUBMM06379,1013194)]
NEUCR04525: [(xTUBMM00581,575094)]
NEUCR04525: [(xTUBMM00581,575094)]
NEUCR04675: [(xTUBMM06242,689974)]
NEUCR04691: [(xTUBMM03379,941567)]
NEUCR04813: [(xTUBMM00696,696155)]
NEUCR04866: [(xTUBMM02419,1025693)]
NEUCR05170: [(xTUBMM04973,1020269)]
NEUCR05170: [(xTUBMM04973,1020269)]
NEUCR05307: [(xTUBMM03113,None)]
NEUCR05344: [(xTUBMM02117,723476)]
NEUCR05402: [(xTUBMM01258,None)]
NEUCR05487: [(xTUBMM04958,739604)]
NEUCR05856: [(xTUBMM01860,767742)]
NEUCR05893: [(xTUBMM01584,688222)]
NEUCR05996: [(xTUBMM01206,939972)]
NEUCR06028: [(xTUBMM02964,933234)]
NEUCR06190: [(xTUBMM00525,None)]
NEUCR06596: [(xTUBMM00404,1022142)]
NEUCR06598: [(xTUBMM06027,1032776)]
NEUCR06598: [(xTUBMM06027,1032776)]
NEUCR06727: [(xTUBMM01099,974872)]
NEUCR06727: [(xTUBMM01099,974872)]
NEUCR06752: [(xTUBMM03845,995923)]
NEUCR06812: [(xTUBMM06397,None)]
NEUCR07062: [(xTUBMM04786,944899)]
NEUCR07267: [(xTUBMM05254,None)]
NEUCR07499: [(xTUBMM03954,959592)]
NEUCR07522: [(xTUBMM06410,791095)]
