query	target	is_main_isoform	HOG	OMA_group	PAM_distance	Alignment_score
CGD-TuM-027800|CAZ81196|Tuber	TUBMM02014	True	HOG:A0563980	OmaGroup:807250	0	0
CGD-TuM-028444|CAZ86488|Tuber	TUBMM07304	True	HOG:A0367267	OmaGroup:933607	0	0
CGD-TuM-029087|CAZ84634|Tuber	TUBMM05450	True	HOG:A0573233	OmaGroup:1035327	0	0
CGD-TuM-029260|CAZ85426|Tuber	TUBMM06242	True	HOG:A0570364	OmaGroup:689974	0	0
CGD-TuM-029497|CAZ84427|Tuber	TUBMM05243	True	HOG:A0369147	OmaGroup:658772	0	0
CGD-TuM-029842|CAZ81299|Tuber	TUBMM02117	True	HOG:A0572970	OmaGroup:723476	0	0
CGD-TuM-030935|CAZ84752|Tuber	TUBMM05568	True	HOG:A0566817	OmaGroup:969678	0	0
CGD-TuM-031732|CAZ83924|Tuber	TUBMM04740	True	n/a	n/a	0	0
CGD-TuM-031931|CAZ82588|Tuber	TUBMM03405	True	HOG:A0785689	OmaGroup:702163	0	0
CGD-TuM-033005|CAZ84268|Tuber	TUBMM05084	True	HOG:A0562779	OmaGroup:984832	0	0
CGD-TuM-033529|CAZ81320|Tuber	TUBMM02138	True	HOG:A0366548	OmaGroup:676804	0	0
CGD-TuM-033835|CAZ80235|Tuber	TUBMM01053	True	HOG:A0555251	OmaGroup:807541	0	0
CGD-TuM-033917|CAZ80726|Tuber	TUBMM01544	True	HOG:A0563478	OmaGroup:1034008	0	0
CGD-TuM-035594|CAZ81878|Tuber	TUBMM02695	True	HOG:A0779767	OmaGroup:1038398	0	0
CGD-TuM-035740|CAZ83957|Tuber	TUBMM04773	True	HOG:A0363643	OmaGroup:729101	0	0
CGD-TuM-035769|CAZ83185|Tuber	TUBMM04001	True	HOG:A0555103	OmaGroup:1035942	0	0
CGD-TuM-036169|CAZ84931|Tuber	TUBMM05747	True	HOG:A0780092	OmaGroup:1037453	0	0
CGD-TuM-036958|CAZ85445|Tuber	TUBMM06261	True	HOG:A0572970	OmaGroup:723479	0	0
CGD-TuM-037356|CAZ81379|Tuber	TUBMM02197	True	HOG:A0556114	OmaGroup:720153	0	0
CGD-TuM-037384|CAZ84820|Tuber	TUBMM05636	True	HOG:A0369235	OmaGroup:808878	0	0
CGD-TuM-037507|CAZ84458|Tuber	TUBMM05274	True	HOG:A0364540	OmaGroup:811432	0	0
CGD-TuM-037544|CAZ83417|Tuber	TUBMM04233	True	HOG:A0575703	n/a	0	0
CGD-TuM-037651|CAZ84416|Tuber	TUBMM05232	True	HOG:A0312525	OmaGroup:773710	0	0
CGD-TuM-037970|CAZ85752|Tuber	TUBMM06568	True	HOG:A0780429	OmaGroup:1038609	0	0
CGD-TuM-038004|CAZ83333|Tuber	TUBMM04149	True	HOG:A0563258	OmaGroup:933602	0	0
CGD-TuM-038282|CAZ80379|Tuber	TUBMM01197	True	HOG:A0364603	OmaGroup:789748	0	0
CGD-TuM-038856|CAZ85594|Tuber	TUBMM06410	True	HOG:A0780104	OmaGroup:791095	0	0
CGD-TuM-038916|CAZ83238|Tuber	TUBMM04054	True	HOG:A0785772	OmaGroup:943332	0	0
CGD-TuM-039022|CAZ85363|Tuber	TUBMM06179	True	HOG:A0567239	OmaGroup:974503	0	0
CGD-TuM-039487|CAZ86323|Tuber	TUBMM07139	True	HOG:A0571801	OmaGroup:991944	0	0
CGD-TuM-039837|CAZ83852|Tuber	TUBMM04668	True	HOG:A0785743	OmaGroup:1022178	0	0
CGD-TuM-039854|CAZ86081|Tuber	TUBMM06897	True	HOG:A0369219	OmaGroup:1011432	0	0
CGD-TuM-039952|CAZ84380|Tuber	TUBMM05196	True	HOG:A0365292	OmaGroup:814915	0	0
CGD-TuM-040360|CAZ79425|Tuber	TUBMM00244	True	HOG:A0785991	OmaGroup:1040372	0	0
CGD-TuM-041069|CAZ85188|Tuber	TUBMM06004	True	HOG:A0371304	OmaGroup:997024	0	0
CGD-TuM-041594|CAZ80684|Tuber	TUBMM01502	True	HOG:A0786218	OmaGroup:688756	0	0
CGD-TuM-042335|CAZ84777|Tuber	TUBMM05593	True	HOG:A0562522	OmaGroup:722167	0	0
CGD-TuM-042620|CAZ85563|Tuber	TUBMM06379	True	HOG:A0363135	OmaGroup:1013194	0	0
CGD-TuM-042818|CAZ79835|Tuber	TUBMM00653	True	HOG:A0366232	OmaGroup:782446	0	0
CGD-TuM-043748|CAZ79586|Tuber	TUBMM00404	True	HOG:A0562748	OmaGroup:1022142	0	0
