query	target	is_main_isoform	HOG	OMA_group	PAM_distance	Alignment_score
CGD-AsN-027693|CADANGAP00007627|Aspergillus	ASPC511230	True	HOG:A0354553	OmaGroup:968737	5.95721489071559	2595.7375342985615
CGD-AsN-028134|CADANGAP00005983|Aspergillus	ASPNG02883	True	HOG:A0554849	OmaGroup:810659	8.283674684523076	1870.5572798578069
CGD-AsN-028548|CADANGAP00004693|Aspergillus	ASPNG09869	True	HOG:A0779767	OmaGroup:1038398	2.074282994484973	6310.0488401521
CGD-AsN-028755|CADANGAP00013878|Aspergillus	ASPNG07068	True	HOG:A0352419	OmaGroup:207404	0.9611294400371786	6304.887475616299
CGD-AsN-028760|CADANGAP00006756|Aspergillus	ASPNG04453	True	HOG:A0570577	OmaGroup:964985	3.290937867411051	10229.345379276201
CGD-AsN-029177|CADANGAP00012028|Aspergillus	ASPNG03615	True	HOG:A0780040	OmaGroup:945587	8.103594800076923	3386.1791947255842
CGD-AsN-029693|CADANGAP00007589|Aspergillus	ASPNG08544	True	HOG:A0355597	OmaGroup:978650	11.774653113874939	4955.9687415594235
CGD-AsN-029914|CADANGAP00007492|Aspergillus	ASPNG08469	True	HOG:A0554913	OmaGroup:653867	5.221212378424315	12340.540008837823
CGD-AsN-030826|CADANGAP00003542|Aspergillus	ASPGL08222	True	HOG:A0350878	OmaGroup:743960	53.0	3595.020761594642
CGD-AsN-030833|CADANGAP00004276|Aspergillus	ASPNG02492	True	HOG:A0369147	OmaGroup:658766	8.283674684523076	1891.684158012271
CGD-AsN-031249|CADANGAP00013008|Aspergillus	ASPNG06136	True	n/a	n/a	6.363253427738738	1875.1434879358858
CGD-AsN-031819|CADANGAP00004194|Aspergillus	ASPC503262	True	HOG:A0369304	OmaGroup:988392	23.273032532058085	747.0843657762744
CGD-AsN-031856|CADANGAP00002479|Aspergillus	ASPNG01913	True	HOG:A0780425	OmaGroup:968651	0.41692678783897086	8915.530048965942
CGD-AsN-032078|CADANGAP00006979|Aspergillus	ASPNG04609	True	HOG:A0563708	OmaGroup:767742	0.28693887771210846	8655.480049274396
CGD-AsN-032311|CADANGAP00000454|Aspergillus	ASPNG00281	True	HOG:A0371304	OmaGroup:997023	2.8843487846529383	18090.396356931422
CGD-AsN-032448|CADANGAP00003591|Aspergillus	ASPNG09811	True	HOG:A0554940	OmaGroup:978536	4.781785462386725	4895.919542032294
CGD-AsN-032972|CADANGAP00001200|Aspergillus	ASPNG01483	True	HOG:A0779843	n/a	3.754841337076077	2087.8507522023283
CGD-AsN-033492|CADANGAP00008035|Aspergillus	ASPNG06548	True	HOG:A0571801	OmaGroup:991944	1.4275706235616372	4524.2380853090435
CGD-AsN-033505|CADANGAP00006141|Aspergillus	ASPNG02764	True	HOG:A0358441	OmaGroup:978622	3.0139664337410452	6689.266120949294
CGD-AsN-033728|CADANGAP00011473|Aspergillus	ASPNG04029	True	HOG:A0562172	OmaGroup:807454	0	0
CGD-AsN-033752|CADANGAP00011014|Aspergillus	ASPNG05526	True	HOG:A0369473	OmaGroup:812790	4.888047361550874	13971.96928428486
CGD-AsN-034537|CADANGAP00004183|Aspergillus	ASPC503252	True	HOG:A0779841	OmaGroup:954640	2.4192749701619847	5962.1097007850185
CGD-AsN-035125|CADANGAP00010334|Aspergillus	ASPNG09434	True	HOG:A0554940	OmaGroup:978526	3.673214351487467	5866.350633883849
CGD-AsN-035558|CADANGAP00000274|Aspergillus	ASPNG00147	True	HOG:A0566817	OmaGroup:969678	2.0291898859092132	7637.802117924672
CGD-AsN-035757|CADANGAP00011299|Aspergillus	ASPNG05319	True	HOG:A0359930	OmaGroup:676617	9.661404388173677	4264.661044605542
CGD-AsN-035873|CADANGAP00000700|Aspergillus	ASPNG00455	True	HOG:A0359763	OmaGroup:940297	2.074282994484973	871.4017933984287
CGD-AsN-036137|CADANGAP00009183|Aspergillus	BURGB00216	True	HOG:A0759403	OmaGroup:958253	0.049449734348559204	108.21193205239251
CGD-AsN-036534|CADANGAP00012345|Aspergillus	ACIAP03837	True	HOG:A0757713	OmaGroup:723476	0.049449734348559204	112.83308664057404
CGD-AsN-037012|CADANGAP00013410|Aspergillus	ASPFU07397	True	HOG:A0358939	OmaGroup:613658	20.850975935620017	2259.8144180108793
CGD-AsN-037096|CADANGAP00009684|Aspergillus	ASPNG09423	True	HOG:A0563467	OmaGroup:811701	1.1209832040999241	4278.751888264902
CGD-AsN-037298|CADANGAP00002891|Aspergillus	ASPNG08782	True	HOG:A0785772	OmaGroup:943332	2.0291898859092132	5866.8729641307145
CGD-AsN-037401|CADANGAP00004016|Aspergillus	ASPNG02309	True	HOG:A0559239	OmaGroup:810640	3.8382822556777674	10250.864349882584
CGD-AsN-037420|CADANGAP00006631|Aspergillus	ASPNG04365	True	HOG:A0369277	OmaGroup:209119	1.8584095021607068	4006.0860746796243
