CGD-AsF-028160	ASPFN09788	332952.B8N6Y8	B8N6Y8
CGD-AsF-028479	ASPFN08857	332952.B8N8Y9	cprA
CGD-AsF-028605	ASPFN12103	332952.B8MWP1	B8MWP1
CGD-AsF-028842	ASPFN12833	332952.B8MYU2	B8MYU2
CGD-AsF-029419	ASPFN05976	332952.B8NGA0	B8NGA0
CGD-AsF-029686	ASPFN05268	332952.B8NIK4	B8NIK4
CGD-AsF-030172	ASPFN09902	332952.B8N691	B8N691
CGD-AsF-030406	ASPFN04744	332952.B8NM94	B8NM94
CGD-AsF-030449	ASPFN11208	332952.B8N3U7	B8N3U7
CGD-AsF-030537	ASPFN09839	332952.B8N4T3	B8N4T3
CGD-AsF-030687	ASPFN01574	332952.B8NTK8	B8NTK8
CGD-AsF-030892	ASPFN03889	332952.B8NP30	B8NP30
CGD-AsF-030990	ASPFN11072	332952.B8N1I0	B8N1I0
CGD-AsF-031149	ASPFN10712	332952.B8N372	B8N372
CGD-AsF-031647	ASPFN10656	332952.B8N0U4	B8N0U4
CGD-AsF-032240	ASPFN02336	332952.B8NRU9	B8NRU9
CGD-AsF-032506	ASPFN10674	332952.B8N0W2	B8N0W2
CGD-AsF-032588	ASPFN09903	332952.B8N692	B8N692
CGD-AsF-032793	ASPFN04842	332952.B8NL41	B8NL41
CGD-AsF-033790	ASPFN01886	332952.B8NUV8	B8NUV8
CGD-AsF-033796	ASPFN12470	332952.B8MXS9	B8MXS9
CGD-AsF-034660	ASPFN10140	332952.B8N555	B8N555
CGD-AsF-034817	ASPFN11616	332952.B8N2A4	B8N2A4
CGD-AsF-035853	ASPFN09327	332952.B8NAA9	B8NAA9
CGD-AsF-036119	ASPFN04745	332952.B8NM95	B8NM95
CGD-AsF-036554	ASPFN03527	332952.B8NML5	B8NML5
CGD-AsF-036768	ASPFN05356	332952.B8NJR9	B8NJR9
CGD-AsF-037196	ASPFN03124	332952.B8NQ75	B8NQ75
CGD-AsF-037354	ASPFN10285	332952.B8N5B0	B8N5B0
CGD-AsF-038274	ASPFN07910	332952.B8NAT8	B8NAT8
CGD-AsF-038365	ASPFN00649	332952.B8NX93	B8NX93
CGD-AsF-038662	ASPFN05929	332952.B8NFW3	B8NFW3
CGD-AsF-038739	ASPFN02990	332952.B8NQ29	B8NQ29
CGD-AsF-039205	ASPFN00862	332952.B8NW45	B8NW45
CGD-AsF-039342	ASPFN03887	332952.B8NNK0	B8NNK0
CGD-AsF-039505	ASPFN06381	332952.B8NGX8	B8NGX8
CGD-AsF-039659	ASPFN07796	332952.B8NCW4	B8NCW4
CGD-AsF-039804	ASPFN04146	332952.B8NL91	B8NL91
CGD-AsF-039834	ASPFN09015	332952.B8N9E7	B8N9E7
CGD-AsF-040228	ASPFN02653	332952.B8NS87	B8NS87
CGD-AsF-040489	ASPFN09815	332952.B8N4Q9	aroM
CGD-AsF-040912	ASPFN04407	332952.B8NKM3	B8NKM3
CGD-AsF-041067	ASPFN03002	332952.B8NQW0	B8NQW0
CGD-AsF-041125	ASPFN02108	332952.B8NSJ9	B8NSJ9
CGD-AsF-041633	ASPFN08305	332952.B8NBY3	B8NBY3
CGD-AsF-041816	ASPFN01771	332952.B8NTW5	B8NTW5
CGD-AsF-041819	ASPFN10062	332952.B8N782	B8N782
CGD-AsF-042328	ASPFN06106	332952.B8NHG5	B8NHG5
CGD-AsF-042365	ASPFN13409	332952.B8MWB9	B8MWB9
CGD-AsF-042935	ASPFN12620	332952.B8MY79	B8MY79
CGD-AsF-043447	ASPFN09046	332952.B8N9H8	B8N9H8
CGD-AsF-043586	ASPFN07261	332952.B8NEM7	B8NEM7
CGD-AsF-044036	ASPFN10377	332952.B8N2R5	B8N2R5
CGD-AsF-044168	ASPFN05947	332952.B8NG71	B8NG71
CGD-AsF-044407	ASPFN12913	332952.B8MZ22	B8MZ22
CGD-AsF-044553	ASPFN06653	332952.B8NDX6	B8NDX6
CGD-AsF-044582	ASPFN01660	332952.B8NTU4	B8NTU4
CGD-AsF-045334	ASPFN05462	332952.B8NIV7	B8NIV7
CGD-AsF-045659	ASPFN02438	332952.B8NT00	B8NT00
CGD-AsF-045713	ASPFN04419	332952.B8NKN5	B8NKN5
CGD-AsF-045883	ASPFN03926	332952.B8NP67	B8NP67
CGD-AsF-046246	ASPFN12252	332952.B8MX61	B8MX61
CGD-AsF-046338	ASPFN10538	332952.B8N2Y6	B8N2Y6
CGD-AsF-047060	ASPFN03155	332952.B8NQA6	B8NQA6
CGD-AsF-047264	ASPFN02804	332952.B8NPT2	B8NPT2
CGD-AsF-047725	ASPFN11640	332952.B8N2C8	cyp51A
CGD-AsF-047736	ASPFN02100	332952.B8NSJ1	B8NSJ1
CGD-AsF-048170	ASPFN10746	332952.B8N3A6	B8N3A6
CGD-AsF-048213	ASPFN03475	332952.B8NMG3	B8NMG3
CGD-AsF-048348	ASPFN05121	332952.B8NIE8	B8NIE8
CGD-AsF-048844	ASPFN06520	332952.B8ND13	B8ND13
CGD-AsF-048994	ASPFN12469	332952.B8MXS8	B8MXS8
CGD-AsF-049219	ASPFN11240	332952.B8N1Q9	B8N1Q9
CGD-AsF-049885	ASPFN10758	332952.B8N3B8	B8N3B8
CGD-AsF-050503	ASPFN10775	332952.B8N3D5	B8N3D5
CGD-AsF-051229	ASPFN01995	332952.B8NV67	B8NV67
CGD-AsF-051687	ASPFN09928	332952.B8N6B7	B8N6B7
CGD-AsF-052441	ASPFN08802	332952.B8N8T4	B8N8T4
CGD-AsF-053006	ASPFN02439	332952.B8NT01	B8NT01
CGD-AsF-053024	ASPFN01863	332952.B8NUT5	B8NUT5
CGD-AsF-053184	ASPFN11810	332952.B8N2L0	B8N2L0
CGD-AsF-053229	ASPFN00634	332952.B8NYP9	B8NYP9
CGD-AsF-053411	ASPFN10832	332952.B8N130	B8N130
CGD-AsF-053848	ASPFN11345	332952.B8N3Z5	B8N3Z5
CGD-AsF-053937	ASPFN05178	332952.B8NJI0	B8NJI0
CGD-AsF-054663	ASPFN10730	332952.B8N390	B8N390
CGD-AsF-055926	ASPFN11960	332952.B8MW08	LSM5
CGD-AsF-056520	ASPFN00691	332952.B8NVD4	B8NVD4
CGD-AsF-056595	ASPFN04181	332952.B8NK88	B8NK88
CGD-AsF-056759	ASPFN00751	332952.B8NVJ4	B8NVJ4
CGD-AsF-057106	ASPFN04083	332952.B8NPD5	B8NPD5
CGD-AsF-057987	ASPFN03104	332952.B8NQ55	B8NQ55
CGD-AsF-058032	ASPFN05449	332952.B8NIU4	B8NIU4
CGD-AsF-058134	ASPFN05036	332952.B8NJC6	B8NJC6
CGD-AsF-058929	ASPFN10906	332952.B8N3H6	B8N3H6
CGD-AsF-059057	ASPFN02006	332952.B8NV78	B8NV78
CGD-AsF-059883	ASPFN10706	332952.B8N366	B8N366
CGD-AsF-060363	ASPFN09906	332952.B8N695	B8N695
CGD-AsF-060887	ASPFN12736	332952.B8MYJ5	B8MYJ5
CGD-AsF-061222	ASPFN08138	332952.B8NBG6	B8NBG6
CGD-AsF-061337	ASPFN01634	332952.B8NTR8	B8NTR8
CGD-AsF-062066	ASPFN01127	332952.B8NWM0	B8NWM0
CGD-AsF-062285	ASPFN01536	332952.B8NUD8	B8NUD8
CGD-AsF-062382	ASPFN12521	332952.B8MXY0	B8MXY0
CGD-AsF-063133	ASPFN10361	332952.B8N2P9	B8N2P9
CGD-AsF-063645	ASPFN03862	332952.B8NNH5	B8NNH5
CGD-AsF-063861	ASPFN11980	332952.B8MW28	B8MW28
CGD-AsF-063880	ASPFN03312	332952.B8NQH5	B8NQH5
CGD-AsF-064052	ASPFN08600	332952.B8N882	B8N882
CGD-AsF-064121	ASPFN06281	332952.B8NHQ1	B8NHQ1
CGD-AsF-064623	ASPFN11821	332952.B8N2M1	B8N2M1
CGD-AsF-065145	ASPFN08543	332952.B8N825	B8N825
CGD-AsF-065242	ASPFN05296	332952.B8NIN2	B8NIN2
CGD-AsF-065251	ASPFN10847	332952.B8N145	B8N145
CGD-AsF-065466	ASPFN04583	332952.B8NKW1	B8NKW1
CGD-AsF-065715	ASPFN04082	332952.B8NPD4	B8NPD4
CGD-AsF-066257	ASPFN04674	332952.B8NM00	B8NM00
CGD-AsF-066434	ASPFN11369	332952.B8N419	B8N419
CGD-AsF-066541	ASPFN08433	332952.B8N7R5	B8N7R5
CGD-AsF-066896	ASPFN03316	332952.B8NQH9	B8NQH9
CGD-AsF-067116	ASPFN11817	332952.B8N2L7	B8N2L7
CGD-AsF-067121	ASPFN11230	332952.B8N3W9	B8N3W9
CGD-AsF-067187	ASPFN05336	332952.B8NJP9	B8NJP9
CGD-AsF-067357	ASPFN02246	332952.B8NSP9	B8NSP9
CGD-AsF-067373	ASPFN08955	332952.B8N987	B8N987
CGD-AsF-067518	ASPFN03329	332952.B8NQJ2	B8NQJ2
CGD-AsF-067582	ASPFN11715	332952.B8N4I5	B8N4I5
CGD-AsF-067807	ASPFN12607	332952.B8MY66	B8MY66
CGD-AsF-067974	ASPFN02064	332952.B8NSF5	B8NSF5
CGD-AsF-068879	ASPFN03526	332952.B8NML4	B8NML4
CGD-AsF-068959	ASPFN10800	332952.B8N0Z8	B8N0Z8
CGD-AsF-069063	ASPFN10944	332952.B8N3L4	B8N3L4
CGD-AsF-069248	ASPFN08377	332952.B8N7K9	B8N7K9
CGD-AsF-069636	ASPFN00589	332952.B8NYK4	B8NYK4
CGD-AsF-069655	ASPFN12741	332952.B8MYK0	B8MYK0
CGD-AsF-070187	ASPFN11288	332952.B8N1V7	B8N1V7
CGD-AsF-070206	ASPFN11989	332952.B8MW37	B8MW37
CGD-AsF-070363	ASPFN10033	332952.B8N753	B8N753
CGD-AsF-070416	ASPFN03357	332952.B8NRD5	B8NRD5
CGD-AsF-070509	ASPFN08258	332952.B8NBT6	B8NBT6
CGD-AsF-071150	ASPFN10710	332952.B8N370	B8N370
CGD-AsF-071189	ASPFN01958	332952.B8NV30	B8NV30
CGD-AsF-071609	ASPFN10929	332952.B8N3J9	B8N3J9
CGD-AsF-071657	ASPFN00871	332952.B8NW54	B8NW54
CGD-AsF-071897	ASPFN13363	332952.B8N0C2	B8N0C2
CGD-AsF-071904	ASPFN02041	332952.B8NVB3	B8NVB3
CGD-AsF-072061	ASPFN09192	332952.B8N9X4	B8N9X4
CGD-AsF-072236	ASPFN05683	332952.B8NFY5	B8NFY5
