Neurospora crassa Imperfect Union Tuber melanosporum: 506
NEUCR00038: [(TUBMM06029,1025192)]
NEUCR00055: [(TUBMM05265,1029402)]
NEUCR00093: [(TUBMM04087,808943)]
NEUCR00114: [(TUBMM05397,969095)]
NEUCR00139: [(TUBMM00943,581521)]
NEUCR00145: [(TUBMM06707,960731)]
NEUCR00210: [(TUBMM02126,None)]
NEUCR00220: [(TUBMM04317,1024144)]
NEUCR00234: [(TUBMM06878,1036675)]
NEUCR00244: [(TUBMM05590,807609)]
NEUCR00244: [(TUBMM05590,807609)]
NEUCR00250: [(xTUBMM03227,1001155)]
NEUCR00265: [(xTUBMM01087,959776)]
NEUCR00273: [(TUBMM03030,807432)]
NEUCR00304: [(TUBMM06111,782434)]
NEUCR00350: [(TUBMM02000,720119)]
NEUCR00366: [(TUBMM07489,745357)]
NEUCR00368: [(TUBMM04146,812112)]
NEUCR00374: [(TUBMM06473,1015820)]
NEUCR00377: [(TUBMM07487,654544)]
NEUCR00413: [(TUBMM03018,None)]
NEUCR00468: [(TUBMM05351,585307)]
NEUCR00495: [(TUBMM03820,1025019)]
NEUCR00501: [(TUBMM03040,None)]
NEUCR00539: [(TUBMM00309,653353)]
NEUCR00550: [(TUBMM00457,588105)]
NEUCR00554: [(xTUBMM04149,933602)]
NEUCR00554: [(xTUBMM04149,933602)]
NEUCR00581: [(xTUBMM00244,1040372)]
NEUCR00606: [(TUBMM01777,720873)]
NEUCR00643: [(TUBMM02467,931475)]
NEUCR00649: [(TUBMM07248,810807)]
NEUCR00649: [(TUBMM07248,810807)]
NEUCR00651: [(TUBMM01652,624378)]
NEUCR00654: [(TUBMM00173,761763)]
NEUCR00656: [(TUBMM07188,964602)]
NEUCR00668: [(TUBMM00065,None)]
NEUCR00681: [(xTUBMM03265,984446)]
NEUCR00699: [(TUBMM07226,952883)]
NEUCR00708: [(TUBMM00136,941570)]
NEUCR00729: [(TUBMM06466,802032)]
NEUCR00734: [(TUBMM03264,None)]
NEUCR00741: [(TUBMM01651,1025796)]
NEUCR00772: [(TUBMM05578,None)]
NEUCR00782: [(xTUBMM02233,807454)]
NEUCR00791: [(TUBMM03318,999882)]
NEUCR00797: [(TUBMM00260,None)]
NEUCR00802: [(TUBMM04244,1020331)]
NEUCR00803: [(TUBMM06007,None)]
NEUCR00803: [(TUBMM06007,None)]
NEUCR00810: [(xTUBMM01502,688756)]
NEUCR00816: [(TUBMM01579,1000259)]
NEUCR00817: [(TUBMM03297,1039090)]
NEUCR00834: [(TUBMM02216,604282)]
NEUCR00835: [(TUBMM02368,1010234)]
NEUCR00846: [(TUBMM06235,624229)]
NEUCR00854: [(TUBMM05901,932830)]
NEUCR00855: [(xTUBMM02844,807770)]
NEUCR00861: [(TUBMM02212,1042299)]
NEUCR00866: [(xTUBMM07139,991944)]
NEUCR00876: [(TUBMM00057,954009)]
NEUCR00899: [(TUBMM01141,None)]
NEUCR00907: [(TUBMM01166,None)]
NEUCR00921: [(TUBMM02819,793976)]
NEUCR00936: [(TUBMM00497,1025683)]
NEUCR00942: [(xTUBMM06897,1011432)]
NEUCR00969: [(TUBMM07101,None)]
NEUCR00969: [(TUBMM07101,None)]
NEUCR00976: [(TUBMM02507,1039618)]
NEUCR00990: [(TUBMM00088,1008571)]
NEUCR01018: [(TUBMM03984,807199)]
NEUCR01023: [(TUBMM06025,951957)]
NEUCR01045: [(TUBMM05594,774852)]
NEUCR01051: [(TUBMM02658,810903)]
NEUCR01056: [(TUBMM06886,None)]
NEUCR01057: [(TUBMM07405,999986)]
NEUCR01064: [(TUBMM03826,957990)]
NEUCR01087: [(TUBMM06316,1042828)]
NEUCR01099: [(TUBMM03092,769860), (TUBMM04927,None)]
NEUCR01134: [(TUBMM06378,940224)]
NEUCR01134: [(TUBMM06378,940224)]
NEUCR01150: [(TUBMM05758,1019936)]
NEUCR01151: [(TUBMM00779,975334)]
NEUCR01166: [(TUBMM06544,None)]
NEUCR01173: [(TUBMM02320,1042153)]
NEUCR01191: [(TUBMM03857,585575)]
NEUCR01208: [(TUBMM03607,1014024)]
NEUCR01242: [(xTUBMM03944,810899)]
NEUCR01249: [(TUBMM06624,973015)]
NEUCR01280: [(TUBMM07022,984379)]
NEUCR01287: [(TUBMM02045,None)]
NEUCR01298: [(TUBMM05635,None)]
NEUCR01301: [(TUBMM01120,991945)]
NEUCR01318: [(TUBMM05498,766320)]
NEUCR01319: [(TUBMM05528,None)]
NEUCR01328: [(TUBMM06750,None)]
NEUCR01333: [(TUBMM05033,1023684)]
NEUCR01337: [(TUBMM05873,None)]
NEUCR01337: [(TUBMM05873,None)]
NEUCR01340: [(TUBMM07456,582730)]
NEUCR01347: [(TUBMM01241,None)]
NEUCR01358: [(xTUBMM05388,984698)]
NEUCR01361: [(xTUBMM03379,None)]
NEUCR01388: [(xTUBMM02842,None)]
NEUCR01392: [(xTUBMM00031,680814)]
NEUCR01398: [(xTUBMM00026,968651)]
NEUCR01416: [(TUBMM02716,1031764)]
NEUCR01428: [(TUBMM05917,973663)]
NEUCR01434: [(TUBMM06772,779285)]
NEUCR01437: [(TUBMM02554,947721)]
NEUCR01454: [(TUBMM05518,1041416)]
NEUCR01454: [(TUBMM05518,1041416)]
NEUCR01455: [(xTUBMM04001,1035942)]
NEUCR01455: [(xTUBMM04001,1035942)]
NEUCR01472: [(TUBMM05690,None)]
NEUCR01485: [(TUBMM04663,963962)]
NEUCR01506: [(TUBMM00544,728912)]
NEUCR01506: [(TUBMM00544,728912)]
NEUCR01525: [(TUBMM03482,746781)]
NEUCR01555: [(TUBMM00133,200383)]
NEUCR01556: [(TUBMM00148,761549)]
NEUCR01559: [(TUBMM06944,1010317)]
NEUCR01560: [(xTUBMM05952,766063)]
NEUCR01564: [(TUBMM04812,802748)]
NEUCR01568: [(TUBMM02116,999893)]
NEUCR01575: [(TUBMM05269,575757)]
NEUCR01601: [(TUBMM04021,808460)]
NEUCR01601: [(TUBMM04021,808460)]
NEUCR01606: [(TUBMM05429,807451)]
NEUCR01612: [(TUBMM02124,1003176)]
NEUCR01613: [(TUBMM02123,988593)]
NEUCR01619: [(TUBMM00704,1012492)]
NEUCR01630: [(TUBMM00728,809408)]
NEUCR01643: [(xTUBMM05084,984832)]
NEUCR01644: [(TUBMM04008,None)]
NEUCR01650: [(TUBMM04004,1013376)]
NEUCR01652: [(TUBMM05263,766468)]
NEUCR01683: [(TUBMM03180,807387)]
NEUCR01703: [(TUBMM00736,975897)]
NEUCR01714: [(TUBMM00649,687828)]
NEUCR01714: [(TUBMM00649,687828)]
NEUCR01797: [(xTUBMM01557,None)]
NEUCR01802: [(TUBMM07150,633874)]
NEUCR01825: [(TUBMM02201,1041133)]
NEUCR01841: [(TUBMM03452,766352)]
NEUCR01857: [(TUBMM04128,947833)]
NEUCR01883: [(TUBMM00441,1034011)]
NEUCR01907: [(TUBMM00707,None)]
NEUCR01953: [(TUBMM00494,932934), (TUBMM04942,None)]
NEUCR01955: [(xTUBMM01937,958680)]
NEUCR01968: [(TUBMM02409,None)]
NEUCR01983: [(TUBMM04126,1034149)]
NEUCR01993: [(TUBMM06162,None)]
NEUCR02005: [(xTUBMM06669,985986)]
NEUCR02013: [(TUBMM06478,1040701)]
NEUCR02017: [(TUBMM06360,772237)]
NEUCR02041: [(TUBMM00406,933910)]
NEUCR02058: [(TUBMM03588,1012474)]
NEUCR02068: [(xTUBMM03140,940249)]
NEUCR02090: [(xTUBMM01544,1034008)]
NEUCR02139: [(TUBMM02129,None)]
NEUCR02139: [(TUBMM02129,None)]
NEUCR02211: [(TUBMM06848,664922)]
NEUCR02237: [(TUBMM00056,None)]
NEUCR02279: [(TUBMM03763,807107)]
NEUCR02301: [(TUBMM04295,749778)]
NEUCR02312: [(TUBMM05820,813780)]
NEUCR02347: [(TUBMM05564,1043066)]
NEUCR02359: [(TUBMM01051,None)]
NEUCR02376: [(TUBMM07399,807622)]
NEUCR02408: [(TUBMM01657,714209)]
NEUCR02422: [(TUBMM06398,964148)]
NEUCR02439: [(TUBMM06283,1018692)]
NEUCR02445: [(TUBMM02036,930722)]
NEUCR02450: [(TUBMM04856,974586)]
NEUCR02465: [(TUBMM04551,583829)]
NEUCR02476: [(TUBMM03903,1024303)]
NEUCR02479: [(TUBMM04555,808981)]
NEUCR02484: [(TUBMM02584,621997)]
NEUCR02491: [(TUBMM03249,1034443)]
NEUCR02499: [(TUBMM06126,None)]
NEUCR02502: [(xTUBMM02590,1031039)]
NEUCR02504: [(TUBMM01921,990159)]
NEUCR02508: [(TUBMM01718,993455)]
