query	target	is_main_isoform	HOG	OMA_group	PAM_distance	Alignment_score
CGD-AsF-028160|CADAFLAP00003626|Aspergillus	ASPFN09788	True	HOG:A0584152	OmaGroup:643293	0	0
CGD-AsF-028479|CADAFLAP00004669|Aspergillus	ASPFN08857	True	HOG:A0563708	OmaGroup:767742	0	0
CGD-AsF-028605|CADAFLAP00000281|Aspergillus	ASPFN12103	True	HOG:A0564087	OmaGroup:940094	0	0
CGD-AsF-028842|CADAFLAP00001011|Aspergillus	ASPFN12833	True	HOG:A0365132	OmaGroup:805079	0	0
CGD-AsF-029419|CADAFLAP00007318|Aspergillus	ASPFN05976	True	HOG:A0364603	OmaGroup:789754	0	0
CGD-AsF-029686|CADAFLAP00008215|Aspergillus	ASPFN05268	True	HOG:A0352612	OmaGroup:811954	0	0
CGD-AsF-030172|CADAFLAP00003740|Aspergillus	ASPFN09902	True	HOG:A0566642	OmaGroup:959289	0	0
CGD-AsF-030406|CADAFLAP00009211|Aspergillus	ASPFN04744	True	n/a	n/a	0	0
CGD-AsF-030449|CADAFLAP00002556|Aspergillus	ASPFN11208	True	HOG:A0554823	OmaGroup:807770	0	0
CGD-AsF-030537|CADAFLAP00003677|Aspergillus	ASPFN09839	True	HOG:A0562663	OmaGroup:984698	0	0
CGD-AsF-030687|CADAFLAP00011676|Aspergillus	ASPFN01574	True	HOG:A0365136	OmaGroup:811190	0	0
CGD-AsF-030892|CADAFLAP00009871|Aspergillus	ASPFN03889	True	HOG:A0369165	OmaGroup:808460	0	0
CGD-AsF-030990|CADAFLAP00002420|Aspergillus	ASPFN11072	True	HOG:A0579065	OmaGroup:940848	0	0
CGD-AsF-031149|CADAFLAP00002060|Aspergillus	ASPFN10712	True	HOG:A0355300	OmaGroup:773709	0	0
CGD-AsF-031647|CADAFLAP00002004|Aspergillus	ASPFN10656	True	HOG:A0369147	OmaGroup:658766	0	0
CGD-AsF-032240|CADAFLAP00011082|Aspergillus	ASPFN02336	True	HOG:A0353655	OmaGroup:214724	0	0
CGD-AsF-032506|CADAFLAP00002022|Aspergillus	ASPFN10674	True	HOG:A0785691	OmaGroup:958680	0	0
CGD-AsF-032588|CADAFLAP00003741|Aspergillus	ASPFN09903	True	HOG:A0562504	OmaGroup:807222	0	0
CGD-AsF-032793|CADAFLAP00009309|Aspergillus	ASPFN04842	True	HOG:A0352078	OmaGroup:734559	0	0
CGD-AsF-033790|CADAFLAP00011988|Aspergillus	ASPFN01886	True	HOG:A0570406	OmaGroup:1034481	0	0
CGD-AsF-033796|CADAFLAP00000648|Aspergillus	ASPFN12470	True	HOG:A0564105	OmaGroup:1033712	0	0
CGD-AsF-034660|CADAFLAP00003978|Aspergillus	ASPFN10140	True	HOG:A0360847	OmaGroup:209684	0	0
CGD-AsF-034817|CADAFLAP00002964|Aspergillus	ASPFN11616	True	HOG:A0361020	OmaGroup:209211	0	0
CGD-AsF-035853|CADAFLAP00005139|Aspergillus	ASPFN09327	True	HOG:A0563867	OmaGroup:984446	0	0
CGD-AsF-036119|CADAFLAP00009212|Aspergillus	ASPFN04745	True	HOG:A0781062	n/a	0	0
CGD-AsF-036554|CADAFLAP00009509|Aspergillus	ASPFN03527	True	HOG:A0788287	OmaGroup:656287	0	0
CGD-AsF-036768|CADAFLAP00008303|Aspergillus	ASPFN05356	True	HOG:A0780441	OmaGroup:1025693	0	0
CGD-AsF-037196|CADAFLAP00010532|Aspergillus	ASPFN03124	True	HOG:A0780425	OmaGroup:968651	0	0
CGD-AsF-037354|CADAFLAP00004123|Aspergillus	ASPFN10285	True	HOG:A0779791	OmaGroup:807443	0	0
CGD-AsF-038274|CADAFLAP00005640|Aspergillus	ASPFN07910	True	HOG:A0369315	OmaGroup:714210	0	0
CGD-AsF-038365|CADAFLAP00012151|Aspergillus	ASPFN00649	True	HOG:A0356107	OmaGroup:614058	0	0
CGD-AsF-038662|CADAFLAP00007271|Aspergillus	ASPFN05929	True	HOG:A0352068	OmaGroup:228670	0	0
CGD-AsF-038739|CADAFLAP00010398|Aspergillus	ASPFN02990	True	n/a	n/a	0	0
CGD-AsF-039205|CADAFLAP00012364|Aspergillus	ASPFN00862	True	HOG:A0365292	OmaGroup:814915	0	0
CGD-AsF-039342|CADAFLAP00009869|Aspergillus	ASPFN03887	True	HOG:A0555083	OmaGroup:952230	0	0
CGD-AsF-039505|CADAFLAP00007723|Aspergillus	ASPFN06381	True	HOG:A0554940	OmaGroup:978581	0	0
CGD-AsF-039659|CADAFLAP00005526|Aspergillus	ASPFN07796	True	HOG:A0779843	OmaGroup:995923	0	0
CGD-AsF-039804|CADAFLAP00008613|Aspergillus	ASPFN04146	True	HOG:A0359718	OmaGroup:930641	0	0
CGD-AsF-039834|CADAFLAP00004827|Aspergillus	ASPFN09015	True	HOG:A0785644	OmaGroup:959592	0	0
CGD-AsF-040228|CADAFLAP00011399|Aspergillus	ASPFN02653	True	HOG:A0571406	OmaGroup:825084	0	0
CGD-AsF-040489|CADAFLAP00003653|Aspergillus	ASPFN09815	True	HOG:A0567672	OmaGroup:1002632	0	0
CGD-AsF-040912|CADAFLAP00008874|Aspergillus	ASPFN04407	True	HOG:A0369373	OmaGroup:808686	0	0
CGD-AsF-041067|CADAFLAP00010410|Aspergillus	ASPFN03002	True	HOG:A0554863	OmaGroup:807728	0	0
CGD-AsF-041125|CADAFLAP00010854|Aspergillus	ASPFN02108	True	HOG:A0779761	OmaGroup:976341	0	0
CGD-AsF-041633|CADAFLAP00006035|Aspergillus	ASPFN08305	True	HOG:A0779767	OmaGroup:1038398	0	0
CGD-AsF-041816|CADAFLAP00011873|Aspergillus	ASPFN01771	True	HOG:A0355890	OmaGroup:981236	0	0
CGD-AsF-041819|CADAFLAP00003900|Aspergillus	ASPFN10062	True	HOG:A0562416	OmaGroup:950372	0	0
CGD-AsF-042328|CADAFLAP00007448|Aspergillus	ASPFN06106	True	HOG:A0584245	OmaGroup:991597	0	0
CGD-AsF-042365|CADAFLAP00001587|Aspergillus	ASPFN13409	True	HOG:A0785910	OmaGroup:807561	0	0
CGD-AsF-042935|CADAFLAP00000798|Aspergillus	ASPFN12620	True	HOG:A0371304	OmaGroup:997023	0	0
CGD-AsF-043447|CADAFLAP00004858|Aspergillus	ASPFN09046	True	HOG:A0364396	OmaGroup:954222	0	0
CGD-AsF-043586|CADAFLAP00006834|Aspergillus	ASPFN07261	True	HOG:A0362664	OmaGroup:809286	0	0
CGD-AsF-044036|CADAFLAP00001725|Aspergillus	ASPFN10377	True	HOG:A0781289	OmaGroup:746787	0	0
CGD-AsF-044168|CADAFLAP00007289|Aspergillus	ASPFN05947	True	HOG:A0366898	OmaGroup:953050	0	0
CGD-AsF-044407|CADAFLAP00001091|Aspergillus	ASPFN12913	True	HOG:A0358185	OmaGroup:838924	0	0
CGD-AsF-044553|CADAFLAP00006226|Aspergillus	ASPFN06653	True	HOG:A0572970	OmaGroup:723476	0	0
CGD-AsF-044582|CADAFLAP00011762|Aspergillus	ASPFN01660	True	HOG:A0781076	OmaGroup:723482	0	0
CGD-AsF-045334|CADAFLAP00008409|Aspergillus	ASPFN05462	True	HOG:A0562244	OmaGroup:950785	0	0
CGD-AsF-045659|CADAFLAP00011184|Aspergillus	ASPFN02438	True	HOG:A0785706	OmaGroup:941567	0	0
CGD-AsF-045713|CADAFLAP00008886|Aspergillus	ASPFN04419	True	HOG:A0369308	OmaGroup:1022213	0	0
CGD-AsF-045883|CADAFLAP00009908|Aspergillus	ASPFN03926	True	HOG:A0779919	OmaGroup:1038666	0	0
