Neurospora crassa Perfect Union Aspergillus niger: 66
NEUCR00250: [(xASPNG04316,1001155)]
NEUCR00265: [(xASPNG04282,959776)]
NEUCR00581: [(xASPNG00379,1040372)]
NEUCR00681: [(xASPNG02012,984446)]
NEUCR00782: [(xASPNG04029,807454)]
NEUCR00810: [(xASPNG00185,688756)]
NEUCR00855: [(xASPNG00696,807770)]
NEUCR00866: [(xASPNG06548,991944)]
NEUCR01273: [(xASPNG10113,817545)]
NEUCR01273: [(xASPNG10113,817545)]
NEUCR01332: [(xASPNG04563,643293)]
NEUCR01358: [(xASPNG04515,984698)]
NEUCR01361: [(xASPNG00572,None)]
NEUCR01388: [(xASPNG07030,994401)]
NEUCR01392: [(xASPNG01885,680814)]
NEUCR01398: [(xASPNG01913,968651)]
NEUCR01455: [(xASPNG04759,1035942)]
NEUCR01455: [(xASPNG04759,1035942)]
NEUCR01560: [(xASPNG08656,766063)]
NEUCR01643: [(xASPNG00270,984832)]
NEUCR01797: [(xASPNG01045,991597)]
NEUCR01955: [(xASPNG02484,958680)]
NEUCR02005: [(xASPNG05265,985986)]
NEUCR02090: [(xASPNG07181,1034008)]
NEUCR02502: [(xASPNG07395,1031039)]
NEUCR02805: [(xASPNG05081,1038666)]
NEUCR03101: [(xASPNG00147,969678)]
NEUCR03106: [(xASPNG04852,978542)]
NEUCR03117: [(xASPNG00897,None)]
NEUCR03125: [(xASPNG04453,964985)]
NEUCR03231: [(xASPNG04462,959289)]
NEUCR03231: [(xASPNG04462,959289)]
NEUCR03483: [(xASPNG02756,807443)]
NEUCR03483: [(xASPNG02756,807443)]
NEUCR03587: [(xASPNG08048,976341)]
NEUCR03592: [(xASPNG06977,1036294)]
NEUCR03655: [(xASPNG01876,950372)]
NEUCR03922: [(xASPNG04183,950785)]
NEUCR03924: [(xASPNG00455,940297)]
NEUCR04051: [(xASPNG04697,993002)]
NEUCR04417: [(xASPNG06416,807513)]
NEUCR04691: [(xASPNG00572,941567)]
NEUCR04762: [(xASPNG00434,950754)]
NEUCR04866: [(xASPNG04268,1025693)]
NEUCR05170: [(xASPNG07121,1020269)]
NEUCR05170: [(xASPNG07121,1020269)]
NEUCR05344: [(xASPNG06316,723476)]
NEUCR05357: [(xASPNG00773,786449)]
NEUCR05487: [(xASPNG02407,739604)]
NEUCR05700: [(xASPNG02372,1038602)]
NEUCR05856: [(xASPNG04609,767742)]
NEUCR05967: [(xASPNG00467,None)]
NEUCR05996: [(xASPNG05892,939972)]
NEUCR06028: [(xASPNG02398,933234)]
NEUCR06065: [(xASPNG05526,812790)]
NEUCR06065: [(xASPNG05526,812790)]
NEUCR06332: [(xASPNG06817,809286)]
NEUCR06473: [(xASPNG00281,997023)]
NEUCR06596: [(xASPNG02441,1022142)]
NEUCR06598: [(xASPNG00169,1032776)]
NEUCR06598: [(xASPNG00169,1032776)]
NEUCR06812: [(xASPNG09489,None)]
NEUCR07062: [(xASPNG08057,944899)]
NEUCR07267: [(xASPNG03260,940107)]
NEUCR07499: [(xASPNG02283,959592)]
NEUCR07522: [(xASPNG06202,791095)]
