Zymoseptoria tritici Imperfect Except Aspergillus flavus: 52
CGD-ZyT-065287	ZYMTR00554
CGD-ZyT-030802	ZYMTR00765
CGD-ZyT-045601	ZYMTR00911
CGD-ZyT-056679	ZYMTR01199
CGD-ZyT-060121	ZYMTR01449
CGD-ZyT-040993	ZYMTR01453
CGD-ZyT-034455	ZYMTR01606
CGD-ZyT-035597	ZYMTR01915
CGD-ZyT-057699	ZYMTR01940
CGD-ZyT-066091	ZYMTR02515
CGD-ZyT-037111	ZYMTR02552
CGD-ZyT-043143	ZYMTR02615
CGD-ZyT-032603	ZYMTR02688
CGD-ZyT-061928	ZYMTR02879
CGD-ZyT-066773	ZYMTR03020
CGD-ZyT-039779	ZYMTR03235
CGD-ZyT-054400	ZYMTR03286
CGD-ZyT-063825	ZYMTR03503
CGD-ZyT-040860	ZYMTR04438
CGD-ZyT-051969	ZYMTR04982
CGD-ZyT-037645	ZYMTR05319
CGD-ZyT-061510	ZYMTR05702
CGD-ZyT-041920	ZYMTR05829
CGD-ZyT-069253	ZYMTR06045
CGD-ZyT-028326	ZYMTR06046
CGD-ZyT-049152	ZYMTR06056
CGD-ZyT-065212	ZYMTR06242
CGD-ZyT-033956	ZYMTR06345
CGD-ZyT-054664	ZYMTR06346
CGD-ZyT-050516	ZYMTR06614
CGD-ZyT-071405	ZYMTR06669
CGD-ZyT-061195	ZYMTR06944
CGD-ZyT-062949	ZYMTR07266
CGD-ZyT-035314	ZYMTR07333
CGD-ZyT-027642	ZYMTR07639
CGD-ZyT-062528	ZYMTR07641
CGD-ZyT-035240	ZYMTR07648
CGD-ZyT-048361	ZYMTR07814
CGD-ZyT-062684	ZYMTR07838
CGD-ZyT-039939	ZYMTR07854
CGD-ZyT-068637	ZYMTR08439
CGD-ZyT-052235	ZYMTR08493
CGD-ZyT-031325	ZYMTR08612
CGD-ZyT-048089	ZYMTR08934
CGD-ZyT-030699	ZYMTR09098
CGD-ZyT-032611	ZYMTR09217
CGD-ZyT-064923	ZYMTR09270
CGD-ZyT-043752	ZYMTR09516
CGD-ZyT-070477	ZYMTR09639
CGD-ZyT-070892	ZYMTR10236
CGD-ZyT-065780	ZYMTR10463
CGD-ZyT-055594	ZYMTR10900
