Tuber melanosporum Imperfect Union Aspergillus flavus: 98
TUBMM00026: [(xASPFN03124,968651)]
TUBMM00031: [(xASPFN03155,680814)]
TUBMM00243: [(xASPFN12736,None)]
TUBMM00244: [(xASPFN12741,1040372)]
TUBMM00295: [(ASPFN02252,974509)]
TUBMM00404: [(xASPFN10710,1022142)]
TUBMM00427: [(xASPFN10706,None), (ASPFN01146,None)]
TUBMM00479: [(xASPFN10285,807443)]
TUBMM00525: [(xASPFN10377,746787), (ASPFN13035,None)]
TUBMM00581: [(xASPFN08802,None)]
TUBMM00653: [(ASPFN09127,782446)]
TUBMM00696: [(xASPFN11240,None)]
TUBMM00830: [(ASPFN02414,936442)]
TUBMM00870: [(ASPFN11387,935061)]
TUBMM01029: [(xASPFN03357,756480)]
TUBMM01053: [(ASPFN06027,None)]
TUBMM01087: [(xASPFN05336,959776)]
TUBMM01206: [(xASPFN11288,939972)]
TUBMM01240: [(ASPFN05895,807406)]
TUBMM01258: [(xASPFN05947,953050), (ASPFN10374,None)]
TUBMM01502: [(xASPFN10944,688756)]
TUBMM01544: [(xASPFN11810,1034008)]
TUBMM01557: [(xASPFN06106,None)]
TUBMM01584: [(ASPFN04482,688222)]
TUBMM01600: [(xASPFN09815,1002632)]
TUBMM01860: [(xASPFN08857,767742)]
TUBMM01877: [(xASPFN01536,784166)]
TUBMM01937: [(xASPFN10674,958680)]
TUBMM01985: [(xASPFN02246,1036294)]
TUBMM02014: [(ASPFN03254,807250)]
TUBMM02090: [(xASPFN11345,818360)]
TUBMM02117: [(xASPFN06653,723476)]
TUBMM02150: [(ASPFN12292,None)]
TUBMM02197: [(ASPFN07685,None)]
TUBMM02233: [(xASPFN06520,807454)]
TUBMM02269: [(xASPFN02108,976341)]
TUBMM02419: [(xASPFN05356,1025693)]
TUBMM02573: [(xASPFN10062,950372)]
TUBMM02590: [(xASPFN01958,1031039)]
TUBMM02695: [(xASPFN08305,1038398)]
TUBMM02844: [(xASPFN11208,807770)]
TUBMM02898: [(xASPFN02006,933604)]
TUBMM02925: [(ASPFN03952,934893)]
TUBMM02964: [(xASPFN10758,933234)]
TUBMM03003: [(xASPFN09902,959289)]
TUBMM03227: [(xASPFN05296,1001155)]
TUBMM03241: [(ASPFN11576,809129)]
TUBMM03265: [(xASPFN09327,984446)]
TUBMM03379: [(xASPFN02438,941567)]
TUBMM03405: [(ASPFN12281,702163)]
TUBMM03406: [(xASPFN09903,807222)]
TUBMM03796: [(ASPFN05182,993004)]
TUBMM03845: [(xASPFN07796,995923)]
TUBMM03944: [(ASPFN09767,810899)]
TUBMM03954: [(xASPFN09015,959592)]
TUBMM04054: [(xASPFN04083,943332)]
TUBMM04149: [(ASPFN11430,933602)]
TUBMM04169: [(xASPFN03926,None)]
TUBMM04274: [(ASPFN05590,211168)]
TUBMM04681: [(xASPFN03002,807728)]
TUBMM04773: [(ASPFN00655,None)]
TUBMM04958: [(xASPFN10746,739604)]
TUBMM05017: [(ASPFN05733,None)]
TUBMM05084: [(xASPFN12607,984832)]
TUBMM05196: [(xASPFN00862,814915)]
TUBMM05232: [(xASPFN10712,None)]
TUBMM05254: [(xASPFN12103,940094)]
TUBMM05274: [(ASPFN13260,811432)]
TUBMM05279: [(ASPFN13256,None)]
TUBMM05388: [(xASPFN09839,984698)]
TUBMM05450: [(ASPFN05750,1035327)]
TUBMM05473: [(ASPFN12874,680819)]
TUBMM05511: [(xASPFN04419,None)]
TUBMM05568: [(xASPFN10906,969678)]
TUBMM05575: [(xASPFN08600,None)]
TUBMM05593: [(xASPFN00871,None)]
TUBMM05636: [(ASPFN13444,808878)]
TUBMM05747: [(xASPFN10538,1037453)]
TUBMM05780: [(xASPFN05178,803100)]
TUBMM05881: [(xASPFN12521,None)]
TUBMM05952: [(xASPFN01634,766063)]
TUBMM06027: [(xASPFN10929,1032776)]
TUBMM06030: [(ASPFN08984,810640)]
TUBMM06179: [(xASPFN08258,974503)]
TUBMM06198: [(xASPFN09928,964985)]
TUBMM06242: [(ASPFN03801,None)]
TUBMM06261: [(ASPFN04287,723479)]
TUBMM06397: [(xASPFN11960,989855)]
TUBMM06410: [(xASPFN00589,791095)]
TUBMM06568: [(xASPFN11369,None)]
TUBMM06669: [(xASPFN04583,985986)]
TUBMM06897: [(ASPFN06069,1011432)]
TUBMM06911: [(xASPFN10832,None)]
TUBMM07139: [(xASPFN03312,991944)]
TUBMM07290: [(xASPFN11640,None), (ASPFN05653,978526)]
TUBMM07304: [(ASPFN05674,933607)]
TUBMM07384: [(ASPFN00470,None), (ASPFN06455,676641)]
TUBMM07409: [(ASPFN03351,992421)]
